year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,0.0,3620.0,14.1305291,,True,adult
1999,1,0.0,1778.0,11.16741313,,True,adult
2000,15,1.4666666666666666,3849.533333,12.03287816,13.89396937,True,adult
2001,20,0.7,3771.8,11.32016548,14.14280469,True,adult
2002,27,1.9259259259259258,5039.814815,11.74104029,14.38599031,True,adult
2003,62,1.596774193548387,3914.096774,12.17553623,14.49624985,True,adult
2004,163,2.374233128834356,3960.822086,12.72573623,15.046076800000002,True,adult
2005,249,1.7389558232931728,4426.096386,13.21673024,15.59603648,True,adult
2006,321,1.7445482866043613,4494.084112,13.2773336,15.79720711,True,adult
2007,482,1.54149377593361,4543.983402000001,13.17960149,15.5321348,True,adult
2008,692,1.7991329479768785,5689.5491329999995,13.543980900000001,15.76073348,True,adult
2009,712,1.8904494382022472,5586.991572999999,13.5890171,15.55645982,True,adult
2010,1032,2.0174418604651163,6399.863372,13.70586637,15.6243826,True,adult
2011,1368,1.9013157894736843,6747.924708,13.54408099,15.60757739,True,adult
2012,1730,1.5317919075144508,6898.486704999999,13.78623483,15.69482644,True,adult
2013,2046,1.9379276637341154,7007.881232,13.91295532,15.72738909,True,adult
2014,2078,2.0283926852743024,7025.4975939999995,13.97489773,15.82695161,True,adult
2015,2244,2.161319073083779,7366.893048000001,13.94322919,15.77280354,True,adult
2016,2318,2.2450388265746333,8482.159189,13.7935462,15.67348948,True,adult
2017,2330,2.1103004291845493,10129.23262,13.55823373,15.63622118,True,adult
2018,1673,1.8840406455469216,12166.479379999999,13.41199078,15.61610945,True,adult
2019,1682,1.9625445897740785,13974.486330000002,13.36284648,15.64753387,True,adult
