year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,1,0.0,2167.0,12.99962916,,True,drugs
2011,3,0.0,4621.666667,12.57236469,15.47004243,True,drugs
2012,2,0.0,2247.0,12.7196779,,True,drugs
2013,3,0.0,3826.666667,12.16833746,13.66288365,True,drugs
2014,3,0.0,3826.0,12.15931483,13.66288365,True,drugs
2015,2,0.0,2247.0,12.7196779,,True,drugs
2016,5,2.0,7760.0,13.34715773,16.31774898,True,drugs
2017,5,2.2,18362.4,14.00291885,17.10739183,True,drugs
2018,3,1.0,15448.0,13.537480599999999,16.14888907,True,drugs
2019,11,1.9090909090909092,12882.54545,12.88837218,15.13663712,True,drugs
