year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,5,2.0,1720.0,8.035176132,2.853058524,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
1998,41,2.6097560975609757,3212.3414634146343,11.860776544146342,3.9268841712195126,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
1999,184,2.8369565217391304,3903.0108695652175,11.446515687934783,4.758471721630434,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2000,1237,3.427647534357316,4978.192400970089,11.758082722356507,6.333890439886822,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2001,2208,3.320199275362319,5465.978260869565,12.085673358110053,6.927401289873188,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2002,3320,3.2400602409638553,5649.832831325301,12.105803847349394,7.29032678631024,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2003,4068,3.107669616519174,5753.762291052114,12.03996234023353,7.217706561531467,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2004,5018,3.17895575926664,5913.100438421682,12.113017363407339,7.509996014218809,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2005,5694,3.0563751317175973,6072.557428872497,12.154315391732354,7.691929748645941,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
2006,7701,3.01064796779639,6147.325542137385,12.164426928797559,7.850187781971174,False,adult;business;education - adult;education - adult;education;messageboardsandforums - advertising;business;education - alcoholandtobacco;business;education - alcoholandtobacco;drugs;education - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;education - blogsandpersonal;education;entertainment - blogsandpersonal;education;foodandrecipes - blogsandpersonal;education;health - blogsandpersonal;education;informationtech - blogsandpersonal;education;messageboardsandforums - blogsandpersonal;education;newsandmedia - blogsandpersonal;education;religion - business;drugs;education - business;economyandfinance;education - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - drugs;education - drugs;education;health - drugs;education;shopping - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - education - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - education;gambling - education;gambling;informationtech - education;games - education;games;informationtech - education;games;mediasharing - education;games;messageboardsandforums - education;games;shopping - education;games;weapons - education;health - education;health;informationtech - education;health;newsandmedia - education;health;shopping - education;illegalcontent - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - education;jobrelated - education;mediasharing - education;messageboardsandforums - education;messageboardsandforums;shopping - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - education;personals;shopping - education;proxyandfilteravoidance - education;religion - education;searchenginesandportals - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - education;sports - education;streamingmedia - education;streamingmedia;travel - education;translators - education;travel - education;travel;vehicles - education;vehicles - education;weapons - 
