year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,12,3.75,3010.083333,12.60683934,13.36622104,True,entertainment
1999,36,5.472222222222222,4534.694444,12.28449428,13.92827065,True,entertainment
2000,146,7.904109589041096,5791.773972999999,11.95266385,14.14694183,True,entertainment
2001,273,5.4945054945054945,5495.336996,11.92188899,14.16658879,True,entertainment
2002,375,4.944,6049.984,12.02231423,14.51508217,True,entertainment
2003,402,6.097014925373134,6882.196517,12.01709559,14.62040999,True,entertainment
2004,490,5.636734693877551,6901.628570999999,12.19090555,14.77761359,True,entertainment
2005,565,4.757522123893805,6813.518584,12.26658268,14.81181492,True,entertainment
2006,791,5.192161820480405,7334.260429999999,12.49474861,14.94619259,True,entertainment
2007,993,5.620342396777442,8033.153072,12.78038993,15.23442721,True,entertainment
2008,1201,5.2772689425478765,8114.692756,12.779298599999999,15.24244655,True,entertainment
2009,1347,5.166295471417966,8434.392725,12.88599898,15.37650882,True,entertainment
2010,1880,4.9542553191489365,8187.4622340000005,12.86531382,15.337350899999999,True,entertainment
2011,2497,4.509411293552263,8363.102123,12.8248367,15.37385637,True,entertainment
2012,3069,4.389051808406647,8294.830564,12.77278518,15.24566281,True,entertainment
2013,3418,4.36541837331773,8710.846987,12.84451525,15.24951561,True,entertainment
2014,3800,3.956578947368421,8667.037368000001,12.9138132,15.27774378,True,entertainment
2015,4317,3.9842483205930046,8888.223072,12.892654499999999,15.25464873,True,entertainment
2016,4629,3.9295744221214086,8786.255779000001,12.91404538,15.28197436,True,entertainment
2017,4629,4.110823071937784,9404.759127,12.96392607,15.31892671,True,entertainment
2018,3670,4.638147138964578,11482.406809999999,13.03130861,15.27651365,True,entertainment
2019,3478,4.771707878090857,12648.6475,13.01028653,15.16427009,True,entertainment
