year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,3,0.0,1469.0,13.04991453,,True,gambling
2001,10,1.0,2416.7,11.88523053,,True,gambling
2002,14,0.7142857142857143,3351.428571,12.72084629,16.23402514,True,gambling
2003,31,2.7096774193548385,3276.709677,12.72293885,15.74578297,True,gambling
2004,27,0.25925925925925924,3568.37037,13.25560322,16.02650252,True,gambling
2005,30,1.2666666666666666,4726.133333,12.81245694,15.51408594,True,gambling
2006,41,1.3170731707317074,5336.0,13.500863199999998,15.40921111,True,gambling
2007,44,1.1590909090909092,5956.0,13.33019762,14.83093696,True,gambling
2008,46,0.8913043478260869,4927.26087,13.27818076,14.58052698,True,gambling
2009,57,0.7368421052631579,5175.649122999999,13.1830775,14.84851659,True,gambling
2010,76,1.2105263157894737,6562.5263159999995,13.67166958,15.22037914,True,gambling
2011,93,1.118279569892473,6689.720429999999,13.45733872,15.40736864,True,gambling
2012,110,1.1727272727272726,7011.109090999999,13.45035591,15.40033896,True,gambling
2013,117,1.0598290598290598,8339.418803,13.25150025,15.51464502,True,gambling
2014,135,0.6148148148148148,8062.837037,12.78786359,15.12845572,True,gambling
2015,148,1.162162162162162,7873.452703,12.84578616,14.97893797,True,gambling
2016,152,1.2236842105263157,9175.256579,13.00166761,15.3380242,True,gambling
2017,118,1.4322033898305084,9025.491525,13.13584091,15.32646265,True,gambling
2018,85,1.4705882352941178,13225.63529,13.58102919,15.50285094,True,gambling
2019,85,0.8470588235294118,13069.54118,13.74945292,15.65930318,True,gambling
