year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,17,0.5882352941176471,3717.235294117647,12.05891387,3.6765135947058822,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
1999,45,0.3333333333333333,3796.177777777778,10.680328176,4.371944421555556,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2000,165,0.7272727272727273,4709.006060606061,12.096507802327272,4.8856974658787875,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2001,290,1.0034482758620689,6965.241379310345,12.818341889655171,8.297552069344828,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2002,431,1.074245939675174,7594.675174013921,12.859721997215779,8.580227296078887,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2003,532,1.169172932330827,7601.945488721804,12.617728956522557,9.034610234586465,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2004,591,1.3062605752961083,7719.194585448393,12.516456681065987,8.993050189627748,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2005,671,1.0923994038748137,7754.290611028316,12.6918667704769,8.81493192861401,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2006,913,1.2387732749178533,8007.265060240964,12.772632924304492,9.39144318044907,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
2007,1012,1.3646245059288538,7946.220355731225,12.795297967806322,9.300572566640318,False,blogsandpersonal;business;economyandfinance - blogsandpersonal;economyandfinance - business;economyandfinance - business;economyandfinance;education - business;economyandfinance;gambling - business;economyandfinance;informationtech - business;economyandfinance;newsandmedia - business;economyandfinance;realestate - business;economyandfinance;shopping - business;economyandfinance;streamingmedia - business;economyandfinance;travel - contentserver;economyandfinance - economyandfinance - economyandfinance;education - economyandfinance;education;entertainment - economyandfinance;education;informationtech - economyandfinance;education;newsandmedia - economyandfinance;education;shopping - economyandfinance;education;travel - economyandfinance;entertainment - economyandfinance;entertainment;newsandmedia - economyandfinance;entertainment;shopping - economyandfinance;gambling - economyandfinance;games - economyandfinance;informationtech - economyandfinance;newsandmedia - economyandfinance;shopping - economyandfinance;shopping;travel - 
