year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,3,0.0,3093.666667,10.82803046,14.6021,True,parked
2000,30,7.466666666666667,7819.7,11.723942800000001,14.21391351,True,parked
2001,85,4.2,5663.788235,12.056527099999998,14.496349300000002,True,parked
2002,124,2.379032258064516,5317.443547999999,11.76114705,14.23255866,True,parked
2003,179,2.5977653631284916,5773.8491619999995,11.98394052,14.35533038,True,parked
2004,274,2.77007299270073,5416.565693,12.11619973,14.89354879,True,parked
2005,343,2.139941690962099,5406.276968,12.35169029,14.92111398,True,parked
2006,525,2.388571428571429,5529.466667000001,12.45277126,15.05058952,True,parked
2007,757,2.984147952443857,6268.759577000001,12.75052667,15.30018184,True,parked
2008,1171,2.7771135781383434,6057.649018,12.82710021,15.35995511,True,parked
2009,1396,2.445558739255014,5992.15616,12.97607037,15.30196224,True,parked
2010,2158,2.351251158480074,5907.7455979999995,12.91208739,15.12156212,True,parked
2011,3036,2.0991436100131753,6383.641963,12.90895372,15.16551112,True,parked
2012,3449,2.0852420991591765,6234.956219,12.93559657,15.16562437,True,parked
2013,3480,2.1816091954022987,6142.65,12.90473262,15.13609102,True,parked
2014,3287,2.0328567082446,6121.301490999999,12.8557376,15.09445299,True,parked
2015,3085,1.960777957860616,5864.775041,12.93838301,15.15176384,True,parked
2016,2575,1.5394174757281553,5893.909903,13.01463993,15.14356841,True,parked
2017,2083,0.30244839174267885,4447.529525,13.284004000000001,15.05010578,True,parked
2018,848,0.9893867924528302,9623.344340000001,13.05739457,15.33140626,True,parked
2019,284,2.7711267605633805,12878.22183,14.30050836,15.84426287,True,parked
