year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,11,0.0,5317.545454545455,11.855496918181816,6.34231306,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2001,20,0.0,5648.75,11.440965818,4.8755464255,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2002,45,0.5555555555555556,6053.933333333333,12.000264949999998,7.544136612666667,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2003,65,1.323076923076923,7075.4,12.082799174615383,8.668407081076923,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2004,119,1.1680672268907564,6516.151260504202,11.847526600504201,8.91209283630252,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2005,161,1.049689440993789,6831.72049689441,11.839857076645961,8.903300306335403,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2006,188,0.8776595744680851,7456.29255319149,12.003941657978723,10.131586263138297,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2007,194,1.0103092783505154,8370.257731958764,11.853641349278348,11.32570934314433,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2008,267,1.2771535580524345,9159.307116104868,11.95439628104869,11.422546995505618,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2009,277,1.5884476534296028,9737.292418772564,12.413372523790613,11.666573558628158,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2010,331,1.7250755287009063,10325.012084592145,12.876114820634442,12.150441555075528,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2011,435,1.9724137931034482,11265.441379310345,12.60552667524138,12.056073477080458,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2012,445,1.8808988764044945,10988.155056179776,12.563056271510114,11.894037766707864,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2013,490,2.293877551020408,11753.285714285714,12.77432694287755,12.266061789102041,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2014,551,2.50453720508167,12416.921960072596,12.496556705299454,12.145819827640654,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2015,549,3.116575591985428,14948.415300546449,12.846604640182148,12.483184949089253,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2016,503,2.7992047713717696,14414.121272365805,12.824550057654076,12.376385058071572,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2017,488,2.9528688524590163,14699.870901639344,13.319301706311474,13.40371859727459,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2018,237,2.9451476793248945,15319.991561181434,13.074599030168779,13.192885451476794,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
2019,252,2.869047619047619,17874.035714285714,13.194508901904763,13.817439018611111,False,adult;personals - adult;personals;socialnetworking - alcoholandtobacco;education;personals - alcoholandtobacco;personals - business;personals - education;personals;shopping - gambling;personals - personals - personals;socialnetworking - personals;streamingmedia - 
