year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,2,0.0,5299.0,14.73675892,16.0302975,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2000,20,10.5,6991.1,10.145009038,7.507430641500001,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2001,26,5.576923076923077,6154.153846153846,10.557787332307694,6.684003466153846,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2002,37,4.945945945945946,5918.351351351352,11.231368851621621,7.222911036486486,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2003,48,4.395833333333333,5532.645833333333,11.582797647291665,7.405136654791666,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2004,52,2.3076923076923075,5781.384615384615,11.780628394807694,7.818588496923076,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2005,63,3.2063492063492065,6011.571428571428,11.513501806349206,8.96529901936508,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2006,85,3.152941176470588,6137.564705882353,11.427293662882352,9.421220565529413,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2007,82,4.390243902439025,8306.182926829268,11.914282786829268,10.758477140975607,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
2008,79,4.632911392405063,7926.215189873417,11.657066113164557,10.96171772392405,False,blogsandpersonal;education;religion - blogsandpersonal;entertainment;religion - blogsandpersonal;religion - business;education;religion - business;religion - education;entertainment;religion - education;religion - entertainment;religion - entertainment;religion;streamingmedia - mediasharing;religion - religion - religion;travel - 
