year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,5299.0,14.73675892,16.0302975,True,religion
2000,4,10.25,7994.0,12.63809604,14.6263728,True,religion
2001,2,13.5,7373.0,12.28510739,13.0238668,True,religion
2002,4,13.75,7225.0,12.460181599999999,13.15943665,True,religion
2003,4,13.75,7122.75,12.38396834,13.2950065,True,religion
2004,2,3.0,5291.0,13.819822199999997,,True,religion
2005,5,5.2,5656.0,14.39983316,16.57054783,True,religion
2006,6,8.333333333333334,6206.0,14.02874134,15.86405531,True,religion
2007,9,6.888888888888889,10940.77778,13.11305407,16.30579084,True,religion
2008,9,10.666666666666666,10216.88889,12.68538979,15.48485982,True,religion
2009,10,8.6,12054.2,12.51508747,15.58818665,True,religion
2010,10,8.1,9285.6,12.01875772,15.38972122,True,religion
2011,12,7.5,9978.083333,12.84716775,15.54029853,True,religion
2012,12,8.5,11118.83333,12.71030006,14.91919365,True,religion
2013,10,7.8,10439.4,13.34392989,15.24217592,True,religion
2014,10,6.7,9404.1,13.43377446,15.36368291,True,religion
2015,10,8.6,9992.9,12.56053289,14.58114129,True,religion
2016,15,7.266666666666667,11540.06667,12.70129487,14.56503808,True,religion
2017,15,6.466666666666667,10517.73333,13.21310911,14.899760800000001,True,religion
2018,14,8.071428571428571,12732.28571,13.45722528,14.88282558,True,religion
2019,18,6.777777777777778,14490.38889,13.77753438,15.55402381,True,religion
