year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,11,4.090909090909091,3369.181818,12.38456437,13.97266381,True,shopping
1999,40,2.375,4014.675,11.38001797,13.5259565,True,shopping
2000,209,2.3636363636363638,4888.062201,11.55888757,13.93245178,True,shopping
2001,347,2.4985590778097984,4953.602304999999,11.6614714,13.98214372,True,shopping
2002,537,2.549348230912477,5668.8137799999995,11.76413919,14.05511126,True,shopping
2003,734,2.457765667574932,6078.519074,11.92521049,14.24690193,True,shopping
2004,924,2.3885281385281387,6135.82684,11.91430832,14.26137174,True,shopping
2005,1122,2.463458110516934,6438.721925,12.01642954,14.3598666,True,shopping
2006,1590,2.7666666666666666,6766.603145,12.05137737,14.34255784,True,shopping
2007,1937,2.864223025296851,7109.163654999999,12.21418575,14.50172343,True,shopping
2008,2241,3.043730477465417,7207.337796,12.25636127,14.57258525,True,shopping
2009,2295,2.98562091503268,7318.45098,12.34278125,14.61562616,True,shopping
2010,2890,2.9093425605536334,7435.1508650000005,12.43397322,14.68087719,True,shopping
2011,3798,2.9681411269088995,7925.210111,12.467934199999998,14.75047035,True,shopping
2012,4798,3.02334305960817,8254.816381999999,12.460499800000001,14.71550022,True,shopping
2013,5484,2.8318745441283735,8618.995077,12.55182972,14.79177825,True,shopping
2014,5997,2.933633483408371,9237.718359,12.63000757,14.86129663,True,shopping
2015,6592,2.890018203883495,9568.707220999999,12.69965398,14.91564147,True,shopping
2016,6588,2.926381299332119,9928.938828,12.74784801,14.95219553,True,shopping
2017,5439,3.237727523441809,10912.23718,12.87440777,15.03381229,True,shopping
2018,3646,3.711464618760285,13320.68843,13.03737972,15.15794342,True,shopping
2019,4036,3.9653121902874133,14329.10059,13.07315577,15.16622916,True,shopping
