year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,1607.0,0.0,0.0,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2000,1,11.0,11725.0,11.03485036,14.36255379,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2001,1,11.0,11725.0,11.03485036,14.36255379,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2003,2,2.0,5842.5,14.603614995000001,16.224594545,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2004,3,2.6666666666666665,6831.0,13.89871593,15.837305306666666,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2005,4,0.0,3578.0,10.531815015,3.4541674125,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2006,13,5.384615384615385,10751.692307692309,12.462892663076921,9.352397213076923,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2007,16,4.3125,10946.625,11.8718117675,9.34701357,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2008,21,4.619047619047619,15565.095238095239,12.533942008095236,12.206066524285713,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2009,15,2.8666666666666667,12936.066666666668,12.533870764666666,12.001915336,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
