year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2833.0,12.988700699999999,,True,vehicles
2000,8,0.0,3665.625,13.28637973,15.22818128,True,vehicles
2001,25,2.04,7279.12,12.70290227,15.28288595,True,vehicles
2002,30,3.033333333333333,6822.366667,12.68954233,15.39821207,True,vehicles
2003,36,4.027777777777778,6800.666667,12.32457674,15.26477827,True,vehicles
2004,50,3.06,7819.94,12.47951305,14.99019329,True,vehicles
2005,61,3.2295081967213113,7574.393443000001,12.41553656,14.89706784,True,vehicles
2006,73,3.493150684931507,7866.328767,12.59700652,14.9533503,True,vehicles
2007,80,3.0375,7510.8375,12.45102591,14.83964023,True,vehicles
2008,86,2.36046511627907,6476.511628,12.55385881,15.03566261,True,vehicles
2009,78,1.7820512820512822,6518.025640999999,12.58584458,14.86356678,True,vehicles
2010,116,1.793103448275862,6594.551724,12.57057597,14.95812696,True,vehicles
2011,145,1.4689655172413794,6428.944828,12.46900057,14.7816837,True,vehicles
2012,182,1.554945054945055,6389.824176,12.526800099999999,14.75882978,True,vehicles
2013,205,1.4195121951219511,6750.2390239999995,12.65384987,15.15905357,True,vehicles
2014,215,1.2325581395348837,7405.888371999999,12.93335735,15.34960646,True,vehicles
2015,230,1.4695652173913043,7387.082609,12.89389954,15.33070722,True,vehicles
2016,244,1.7663934426229508,7256.918033,12.90332759,15.33665226,True,vehicles
2017,233,2.0343347639484977,7428.5321890000005,12.90965761,15.37488694,True,vehicles
2018,200,2.82,10902.725,12.94837653,15.43049203,True,vehicles
2019,184,3.5706521739130435,13708.206519999998,13.16405973,15.43855734,True,vehicles
