year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,3,1.3333333333333333,2477.6666666666665,12.716445049999999,0.0,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2000,14,1.4285714285714286,3794.0,11.742403072142858,3.002194185,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2001,25,1.56,4072.72,12.7118710364,5.6306734604,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2002,34,1.5294117647058822,5510.764705882353,12.602474288235294,7.247215969411764,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2003,48,1.7916666666666667,5864.520833333333,12.264958545416667,7.5441175097916675,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2004,38,1.4736842105263157,5935.421052631579,12.389212289736841,7.340554588684211,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2005,42,1.5952380952380953,5997.761904761905,12.197284802619048,7.968795834999999,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2006,65,1.8461538461538463,5710.276923076923,11.794666004153845,8.40311595,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2007,84,1.75,5724.523809523809,11.935481360119047,8.031821060238096,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2008,81,1.5061728395061729,6253.7037037037035,12.327472222592593,9.37558790345679,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2009,101,1.5445544554455446,6110.059405940594,11.861298125643566,9.059698291386137,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2010,138,1.4057971014492754,6016.195652173913,11.724154377971013,8.360074400942029,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2011,173,1.4855491329479769,5901.838150289017,11.797607723236995,7.921930665028901,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2012,218,1.871559633027523,6450.077981651376,12.033495298027521,8.644680719816515,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2013,249,2.3373493975903616,6729.638554216867,11.989103532610441,8.739360585341364,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
