year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,1,0.0,2167.0,12.99962916,,True,drugs
2011,3,0.0,4621.666666666667,12.572364693333334,5.15668081,True,drugs
2012,2,0.0,2247.0,12.719677905,,True,drugs
2013,3,0.0,3826.6666666666665,12.168337456666668,4.55429455,True,drugs
2014,3,0.0,3826.0,12.159314833333333,4.55429455,True,drugs
2015,2,0.0,2247.0,12.719677905,,True,drugs
2016,5,2.0,7760.0,13.347157734000001,9.790649386,True,drugs
2017,5,2.2,18362.4,14.00291885,10.264435096,True,drugs
2018,3,1.0,15448.0,13.537480596666667,10.765926046666666,True,drugs
2019,11,1.9090909090909092,12882.545454545454,11.716701981818181,11.008463363636364,True,drugs
