year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,10,1.0,2402.0,10.672632097,0.0,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
1999,24,3.5416666666666665,2933.0,11.27555384,2.280942195,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2000,84,3.0357142857142856,4041.035714285714,10.651910761785714,4.823889956071428,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2001,108,5.342592592592593,5571.768518518518,11.601324730972223,6.309212391944444,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2002,153,5.052287581699346,6388.281045751634,11.843035102679737,7.832503741437908,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2003,184,5.396739130434782,6870.548913043478,12.096773499456523,8.976868288641304,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2004,215,5.4511627906976745,7482.009302325581,12.240305878697674,9.496984783581397,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2005,251,5.450199203187251,7663.02390438247,12.297247807689242,9.695857787649404,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2006,355,6.115492957746479,7698.256338028169,12.392625663154929,9.828939693690142,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2007,436,7.073394495412844,8306.70871559633,12.49067655821101,10.027137175114676,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
