year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,2,1.5,7796.0,11.482037590000001,7.39509725,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
1998,16,2.25,3535.0625,12.290676945000001,4.6044477575,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
1999,67,3.8507462686567164,4671.0298507462685,12.542149812985075,7.898998138805971,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2000,317,4.694006309148265,6749.009463722397,12.565646313362778,10.686962750189275,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2001,540,5.322222222222222,8508.557407407407,12.934456884407407,11.945540527222223,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2002,745,5.881879194630873,8753.20134228188,12.639335605315436,11.617607069342279,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2003,767,6.314211212516297,9138.693611473273,12.530662591616688,11.482086589687095,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2004,852,6.315727699530516,9253.360328638497,12.650347373298127,11.580987283204227,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2005,885,5.51864406779661,9590.073446327684,12.684281209694918,11.852218658915255,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
2006,1151,5.289313640312772,9485.916594265856,12.7379186951086,11.898398760373588,False,adult;entertainment;newsandmedia - adult;informationtech;newsandmedia - adult;newsandmedia - blogsandpersonal;business;newsandmedia - blogsandpersonal;education;newsandmedia - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;newsandmedia - business;economyandfinance;newsandmedia - business;education;newsandmedia - business;entertainment;newsandmedia - business;informationtech;newsandmedia - business;newsandmedia - business;newsandmedia;shopping - business;newsandmedia;sports - business;newsandmedia;travel - business;newsandmedia;vehicles - chatandmessaging;entertainment;newsandmedia - contentserver;newsandmedia - drugs;newsandmedia - economyandfinance;education;newsandmedia - economyandfinance;entertainment;newsandmedia - economyandfinance;newsandmedia - education;entertainment;newsandmedia - education;health;newsandmedia - education;informationtech;newsandmedia - education;newsandmedia - education;newsandmedia;shopping - education;newsandmedia;sports - education;newsandmedia;streamingmedia - education;newsandmedia;travel - entertainment;games;newsandmedia - entertainment;informationtech;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - games;informationtech;newsandmedia - games;messageboardsandforums;newsandmedia - games;newsandmedia - informationtech;newsandmedia - informationtech;newsandmedia;shopping - mediasharing;newsandmedia - messageboardsandforums;newsandmedia - newsandmedia - newsandmedia;searchenginesandportals - newsandmedia;shopping - newsandmedia;sports - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - newsandmedia;travel - newsandmedia;vehicles - newsandmedia;virtualreality - 
