year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,1.5,5811.5,11.884005035,7.487651405,True,newsandmedia
1999,8,4.125,7251.0,12.865436725,13.0282734375,True,newsandmedia
2000,42,4.904761904761905,7433.833333333333,12.669080621428572,10.602746264285715,True,newsandmedia
2001,76,5.276315789473684,9054.184210526315,12.905503694736842,12.481129805263159,True,newsandmedia
2002,98,6.836734693877551,9086.785714285714,12.867950632653061,12.10264781632653,True,newsandmedia
2003,112,6.964285714285714,10389.67857142857,12.809511446428571,12.509054044642856,True,newsandmedia
2004,111,6.126126126126126,10295.17117117117,13.004787585585586,12.913942108108108,True,newsandmedia
2005,127,7.251968503937008,11352.75590551181,12.989322173228347,13.171971448818898,True,newsandmedia
2006,168,6.892857142857143,10640.994047619048,13.057808303571427,12.670388666666668,True,newsandmedia
2007,163,5.895705521472393,10972.40490797546,13.113507055214725,12.001551042944785,True,newsandmedia
2008,164,6.164634146341464,11581.158536585366,13.401487146341465,12.331647634146341,True,newsandmedia
2009,179,7.312849162011173,12856.508379888268,13.727299508379888,13.29062946368715,True,newsandmedia
2010,214,7.168224299065421,12744.644859813085,13.637530093457944,13.130580855140188,True,newsandmedia
2011,262,7.4541984732824424,13675.778625954199,13.52845680534351,12.777678187022902,True,newsandmedia
2012,301,7.21594684385382,14586.923588039866,13.85964388704319,13.803052990033224,True,newsandmedia
2013,311,6.405144694533762,14726.167202572347,13.823592848874597,13.734678601286175,True,newsandmedia
2014,340,6.661764705882353,14461.241176470588,13.691689691176471,13.55815676764706,True,newsandmedia
2015,372,6.145161290322581,13911.373655913978,13.483925346774193,12.876835819892474,True,newsandmedia
2016,388,5.84020618556701,14533.840206185567,13.631518613402061,12.849125719072164,True,newsandmedia
2017,398,6.080402010050252,15629.738693467336,13.807445623115576,13.139081130653267,True,newsandmedia
2018,334,6.347305389221557,18083.7125748503,13.842319050898205,14.502593479041915,True,newsandmedia
2019,324,6.685185185185185,18621.811728395063,13.900833876543208,14.163659620370371,True,newsandmedia
