year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,1607.0,,,True,socialnetworking
2000,1,11.0,11725.0,11.03485036,14.36255379,True,socialnetworking
2001,1,11.0,11725.0,11.03485036,14.36255379,True,socialnetworking
2003,1,4.0,7632.0,15.05097659,16.84762313,True,socialnetworking
2004,2,4.0,7632.0,15.05097659,16.847623135,True,socialnetworking
2005,1,0.0,6567.0,10.01607818,,True,socialnetworking
2006,2,0.0,2567.0,10.31660839,,True,socialnetworking
2007,3,0.0,2851.0,7.040733443333333,,True,socialnetworking
2008,3,0.0,2851.0,7.040733443333333,,True,socialnetworking
2009,1,0.0,2400.0,10.56110016,,True,socialnetworking
2010,2,0.0,3881.5,11.590047515,7.55612884,True,socialnetworking
2011,4,2.25,16648.0,11.883385435,7.2176722325,True,socialnetworking
2012,5,4.0,18835.4,13.697855696,12.970030898,True,socialnetworking
2013,7,5.714285714285714,19998.85714285714,14.754622485714288,16.040798314285713,True,socialnetworking
2014,4,6.0,25423.25,15.6213147325,16.1049682275,True,socialnetworking
2015,6,3.6666666666666665,18038.0,13.963423888333333,15.039495613333335,True,socialnetworking
2016,6,4.666666666666667,16595.833333333332,13.462648213333333,14.152698961666667,True,socialnetworking
2017,4,4.5,26881.75,14.4291675375,15.3994896625,True,socialnetworking
2018,4,7.75,24736.5,14.74713653,15.16483419,True,socialnetworking
2019,4,7.75,24656.75,14.6936139375,15.1532879625,True,socialnetworking
