year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,2,0.0,3167.0,12.3411882,,True,translators
2007,2,0.0,3167.0,12.3411882,,True,translators
2008,3,2.0,2991.0,12.845768903333335,,True,translators
2009,4,3.0,2896.5,13.098059255,,True,translators
2010,3,2.0,2982.3333333333335,12.845768903333335,,True,translators
2011,3,4.0,2859.0,13.350349606666667,,True,translators
2012,4,3.0,2982.0,13.098059255,,True,translators
2013,4,3.0,3307.0,13.35418238,,True,translators
2014,6,4.333333333333333,6226.5,13.410788131666665,4.918826251666666,True,translators
2015,5,3.8,4990.0,13.31915844,2.853058524,True,translators
2016,4,7.75,39930.75,12.9250587525,3.4157209125,True,translators
2017,4,4.75,3543.5,14.0398200525,,True,translators
2018,2,6.0,2613.0,13.854930315,,True,translators
2019,4,10.5,58923.5,11.856328615,6.0649447725,True,translators
