year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,1,2.0,15632.0,13.34924091,14.83674596,True,adult;blogsandpersonal
2011,1,0.0,8506.0,10.62006743,12.74508487,True,adult;blogsandpersonal
2012,2,0.0,8506.0,10.62006743,12.74508487,True,adult;blogsandpersonal
2013,3,0.0,12767.33333,12.38692388,13.61591474,True,adult;blogsandpersonal
2014,4,0.0,17231.0,12.16166252,14.05800258,True,adult;blogsandpersonal
2015,2,0.0,12433.0,11.260340699999999,14.31402892,True,adult;blogsandpersonal
2016,4,0.0,13852.0,11.98233608,14.3651233,True,adult;blogsandpersonal
2017,4,0.0,15636.0,12.80969777,14.70537735,True,adult;blogsandpersonal
2018,7,0.0,2197.285714,11.38176925,13.76565471,True,adult;blogsandpersonal
2019,4,0.0,1329.0,11.22016568,,True,adult;blogsandpersonal
