year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,3,0.0,4494.0,13.344312013333335,4.819660016666666,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2002,8,0.0,3777.75,13.245409299999999,3.6147450125000002,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2003,11,0.45454545454545453,4843.909090909091,12.69873112727273,3.856798097272727,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2004,33,0.9090909090909091,4093.878787878788,11.69177517030303,4.248226261515152,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2005,43,1.0465116279069768,4187.906976744186,11.244884194418603,4.369227621627908,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2006,62,1.2096774193548387,4142.4838709677415,10.688760605806452,4.726844347741936,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2007,69,0.7101449275362319,4655.463768115942,10.703238028550725,5.551186304637682,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2008,87,0.7241379310344828,4956.942528735633,11.456781020689656,6.92427364045977,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2009,73,1.1917808219178083,5978.260273972603,12.300230323424657,7.655801192602739,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2010,110,0.9818181818181818,5764.454545454545,12.489786688909092,7.917109371363636,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2011,137,1.562043795620438,6461.430656934306,12.402252129270071,9.176430325036497,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2012,131,1.0534351145038168,6269.3893129770995,12.453250623893128,8.620608317786258,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2013,163,1.6503067484662577,7208.239263803681,12.823120944907977,10.489559852453988,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2014,189,1.8941798941798942,7154.444444444444,12.741993179735449,10.146165222328042,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2015,226,2.190265486725664,7231.33628318584,12.909250240752213,9.963815817743363,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2016,214,1.9672897196261683,7429.238317757009,12.768220808364486,9.924214631869159,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2017,191,2.298429319371728,8022.34554973822,12.941460593141365,9.807671714764398,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2018,145,2.5448275862068965,9814.772413793104,12.984197447724137,11.055094765517241,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
2019,126,2.1587301587301586,9683.063492063493,12.874914633968253,10.571842341031745,False,adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - 
