year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,24.0,6107.0,11.11311951,13.91797589,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2001,1,22.0,4189.0,9.565396825,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2002,2,22.0,4130.5,9.642036415,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2003,1,22.0,4187.0,9.602857143,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2004,3,14.666666666666666,4322.0,12.938021623333334,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2005,4,11.0,4389.5,14.605603865,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2006,4,11.0,4389.5,14.605603865,0.0,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2007,8,6.75,5654.0,15.6219840375,4.01809740375,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2008,5,9.8,5360.6,14.418158662,3.2144779219999995,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2009,5,6.2,7239.4,15.570833920000002,6.662186418,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2010,10,4.0,8503.6,15.20504206,12.797084340000001,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2011,9,4.888888888888889,9832.666666666666,14.408031966666666,16.16816917777778,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2012,8,4.375,9431.125,13.1597335075,13.30439278875,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2013,8,5.125,9421.75,13.7656286225,15.509129354999999,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2014,7,4.857142857142857,11091.57142857143,13.718040682857142,15.415061702857143,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2015,12,4.166666666666667,8723.833333333334,13.321662636666668,12.887692597500001,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2016,11,4.181818181818182,7935.545454545455,13.357613233636364,12.740493130909094,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2017,11,4.363636363636363,9039.272727272728,13.43017516727273,12.826655560909092,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2018,10,5.8,10149.4,13.332896294,15.168384717,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
2019,6,5.333333333333333,10357.5,12.945921263333332,15.050350618333333,False,adult;chatandmessaging - adult;chatandmessaging;streamingmedia - 
