year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,4,12.75,7957.25,13.28387387,15.26867097,True,adult;informationtech
2008,5,10.8,7040.2,13.72906297,15.14376917,True,adult;informationtech
2009,3,9.0,7149.333333,13.79714871,15.36649617,True,adult;informationtech
2010,4,6.75,7540.5,13.84710517,15.57440053,True,adult;informationtech
2011,7,9.428571428571429,7546.142856999999,13.33536378,15.11873687,True,adult;informationtech
2012,9,2.0,7873.777778,13.83399486,14.914196300000002,True,adult;informationtech
2013,8,2.625,7793.5,13.44618835,14.6658024,True,adult;informationtech
2014,7,3.0,8032.714286,13.35990057,14.22752427,True,adult;informationtech
2015,9,2.3333333333333335,7525.666667,12.62473222,14.67349221,True,adult;informationtech
2016,5,1.8,9570.6,12.87874228,14.21964447,True,adult;informationtech
2017,3,4.0,3722.0,11.68772603,14.97530281,True,adult;informationtech
2018,2,3.0,1488.0,11.37266667,,True,adult;informationtech
2019,1,0.0,27578.0,14.5651629,17.50586285,True,adult;informationtech
