year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,0.0,12407.0,8.099052452999999,9.299571214,True,adult;shopping
1999,2,0.0,2204.0,8.725555556,,True,adult;shopping
2000,3,0.0,6825.666667,9.576729087,14.21634208,True,adult;shopping
2001,5,0.0,8479.0,9.63111658,14.16183701,True,adult;shopping
2002,13,0.0,5392.769231,10.38594279,13.54586687,True,adult;shopping
2003,15,0.0,4633.0,10.45504798,12.98008328,True,adult;shopping
2004,21,0.38095238095238093,4644.190476,11.17237965,13.59745225,True,adult;shopping
2005,23,0.6956521739130435,4421.913043,12.61495328,13.85733035,True,adult;shopping
2006,33,0.42424242424242425,4574.2121210000005,11.61730818,13.42323588,True,adult;shopping
2007,49,0.5306122448979592,7154.795918000001,11.78177584,13.87686587,True,adult;shopping
2008,60,0.8333333333333334,6322.05,11.51534544,13.47455325,True,adult;shopping
2009,61,0.8852459016393442,6110.114754,11.55357069,13.50942398,True,adult;shopping
2010,70,1.2571428571428571,5985.485714,11.95439215,14.10174797,True,adult;shopping
2011,78,1.4871794871794872,6392.269231,12.41597397,14.71896583,True,adult;shopping
2012,100,1.38,7113.68,12.42551826,14.50083352,True,adult;shopping
2013,103,1.2912621359223302,8101.203883,12.28825955,14.5103859,True,adult;shopping
2014,117,1.0427350427350428,9478.897436,12.20086759,14.45759646,True,adult;shopping
2015,112,1.1607142857142858,9365.392856999999,12.29146201,14.4090555,True,adult;shopping
2016,94,1.372340425531915,11012.71277,12.51463243,14.43146842,True,adult;shopping
2017,92,1.7826086956521738,10516.54348,12.24268559,14.38585507,True,adult;shopping
2018,48,1.3333333333333333,13120.97917,12.60938481,15.26643281,True,adult;shopping
2019,77,1.7532467532467533,12996.18182,12.40893503,14.77070224,True,adult;shopping
