year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,4823.0,11.29354855,13.81666965,True,adult;streamingmedia
2002,2,0.0,4823.0,11.29354855,13.81666965,True,adult;streamingmedia
2003,5,0.0,3589.4,12.7591311,13.71338609,True,adult;streamingmedia
2004,6,0.0,3770.666667,12.52086154,13.68788482,True,adult;streamingmedia
2005,7,0.7142857142857143,4536.285714,13.02002311,14.37680743,True,adult;streamingmedia
2006,12,2.75,5869.916667,12.90175499,14.3679617,True,adult;streamingmedia
2007,15,4.066666666666666,6990.733333,12.64944262,13.89110544,True,adult;streamingmedia
2008,22,5.318181818181818,7626.181818000001,13.70056057,15.77356448,True,adult;streamingmedia
2009,20,6.7,6530.75,13.352914199999999,15.22703296,True,adult;streamingmedia
2010,36,6.111111111111111,6531.138889,13.62811534,15.7350281,True,adult;streamingmedia
2011,36,5.666666666666667,6560.083333,13.42029001,15.41387544,True,adult;streamingmedia
2012,35,3.942857142857143,5763.2,13.10127876,15.34152336,True,adult;streamingmedia
2013,51,5.803921568627451,7315.45098,13.17254109,15.42868124,True,adult;streamingmedia
2014,61,5.60655737704918,8970.213115,13.4249478,15.44120703,True,adult;streamingmedia
2015,65,6.184615384615385,11222.87692,13.57558658,15.37759176,True,adult;streamingmedia
2016,73,5.465753424657534,12849.52055,13.78707535,15.61163489,True,adult;streamingmedia
2017,75,3.1866666666666665,13484.306669999998,13.37310578,15.27837026,True,adult;streamingmedia
2018,15,2.2666666666666666,9791.6,12.41411427,14.70126497,True,adult;streamingmedia
2019,35,3.4285714285714284,12905.85714,13.06727932,15.86549955,True,adult;streamingmedia
