year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,3630.0,9.315502727,11.79290869,True,advertising;business
2000,1,0.0,1687.0,11.52714286,,True,advertising;business
2001,3,2.0,2923.333333,13.94635678,,True,advertising;business
2002,4,8.5,4071.25,11.40365745,14.11778686,True,advertising;business
2003,4,0.0,2273.25,12.13714777,,True,advertising;business
2004,4,0.75,6982.0,11.88076406,14.21623354,True,advertising;business
2005,9,0.0,7462.666667,12.3009039,14.71639888,True,advertising;business
2006,24,1.0833333333333333,6539.625,12.23280653,14.50713522,True,advertising;business
2007,31,2.129032258064516,8000.903226,12.55664138,14.90643343,True,advertising;business
2008,45,3.0,8169.311111,12.78856103,15.19014216,True,advertising;business
2009,49,3.9591836734693877,7813.040816,12.989445300000002,15.22318662,True,advertising;business
2010,91,3.021978021978022,7836.945055,12.560891699999999,15.28283678,True,advertising;business
2011,117,2.7435897435897436,8173.675214,12.74893305,15.35820318,True,advertising;business
2012,125,2.72,7628.504,12.73427664,15.25942474,True,advertising;business
2013,135,2.8814814814814813,7675.244444,12.77333723,15.14265264,True,advertising;business
2014,171,2.9415204678362574,8022.71345,12.91008391,15.16592272,True,advertising;business
2015,192,2.4479166666666665,8426.515625,13.05989368,15.14656881,True,advertising;business
2016,202,2.103960396039604,8469.881188,13.09077311,15.34796336,True,advertising;business
2017,189,2.126984126984127,8680.513228,13.05326529,15.36052956,True,advertising;business
2018,163,2.920245398773006,10439.3865,13.00925439,15.42625637,True,advertising;business
2019,132,2.803030303030303,11598.65152,13.35338687,15.3971267,True,advertising;business
