year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,4,2.25,4713.25,10.03542646,12.5161,True,alcoholandtobacco;shopping
2002,7,1.7142857142857142,4063.571429,10.42423674,13.24290986,True,alcoholandtobacco;shopping
2003,10,1.2,3366.6,10.12754789,13.24290986,True,alcoholandtobacco;shopping
2004,14,1.0714285714285714,5239.214286,10.71269873,13.93280913,True,alcoholandtobacco;shopping
2005,16,1.5,4584.8125,10.16954276,13.37504514,True,alcoholandtobacco;shopping
2006,23,1.7826086956521738,4285.217390999999,10.68201195,13.61062298,True,alcoholandtobacco;shopping
2007,29,1.5517241379310345,4738.758621,10.90405943,13.68134181,True,alcoholandtobacco;shopping
2008,30,1.9333333333333333,5428.0,10.99444461,13.75543703,True,alcoholandtobacco;shopping
2009,31,2.5161290322580645,6173.0,11.56961229,14.52180961,True,alcoholandtobacco;shopping
2010,36,1.2777777777777777,5811.361111,11.88683961,14.380182500000002,True,alcoholandtobacco;shopping
2011,44,1.4545454545454546,5610.4772729999995,11.57554051,13.89005205,True,alcoholandtobacco;shopping
2012,58,1.6551724137931034,6486.810345,11.74392009,14.05225809,True,alcoholandtobacco;shopping
2013,53,1.509433962264151,7318.5094340000005,11.88013225,14.26905511,True,alcoholandtobacco;shopping
2014,54,1.0555555555555556,7421.351852,12.10472406,14.30091237,True,alcoholandtobacco;shopping
2015,75,1.5333333333333334,7893.133333,12.18734794,14.36737787,True,alcoholandtobacco;shopping
2016,67,2.014925373134328,8233.358209,12.51471811,14.60201856,True,alcoholandtobacco;shopping
2017,56,2.517857142857143,9207.875,12.69275042,14.83125269,True,alcoholandtobacco;shopping
2018,41,3.048780487804878,11720.56098,12.7996135,15.26753572,True,alcoholandtobacco;shopping
2019,50,2.64,14159.5,12.97346261,15.01524586,True,alcoholandtobacco;shopping
