year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2002,2,0.0,1053.0,10.4365561,,True,blogsandpersonal;education
2003,2,0.0,1098.0,10.74100694,,True,blogsandpersonal;education
2004,2,0.0,1989.5,11.20351509,,True,blogsandpersonal;education
2005,3,0.0,3249.666667,11.26703946,,True,blogsandpersonal;education
2006,7,4.0,5151.857143,11.41235314,,True,blogsandpersonal;education
2007,8,0.0,3941.125,11.12584434,13.5591,True,blogsandpersonal;education
2008,16,1.25,5163.4375,12.30503579,15.29128623,True,blogsandpersonal;education
2009,14,0.7142857142857143,3698.928571,12.57345493,14.75818074,True,blogsandpersonal;education
2010,25,1.36,3667.92,12.73764295,15.15756279,True,blogsandpersonal;education
2011,31,1.3870967741935485,4330.903225999999,13.09512009,15.18459348,True,blogsandpersonal;education
2012,36,1.3888888888888888,3936.861111,12.77323985,15.16629347,True,blogsandpersonal;education
2013,40,2.15,4560.5,13.18797917,15.49450045,True,blogsandpersonal;education
2014,47,1.7659574468085106,4823.106382999999,12.86665035,15.06014386,True,blogsandpersonal;education
2015,53,1.0943396226415094,4818.547170000001,12.91923351,15.20099135,True,blogsandpersonal;education
2016,54,0.7962962962962963,4836.407407,12.91142892,15.36516338,True,blogsandpersonal;education
2017,38,1.2105263157894737,4837.921053,12.74890463,14.87261673,True,blogsandpersonal;education
2018,24,3.1666666666666665,13814.791669999999,12.90843705,15.30653684,True,blogsandpersonal;education
2019,30,3.566666666666667,11860.56667,13.38031053,15.22027044,True,blogsandpersonal;education
