year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2405.0,11.55144225,0.0,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2000,2,0.0,2405.0,11.551442250000001,0.0,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2001,6,0.5,2755.5,9.577367423333333,2.67171625,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2002,10,0.0,2409.2,9.681209284000001,0.0,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2003,10,0.0,2644.7,9.843310571,3.0405395779999997,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2004,11,0.0,3864.909090909091,12.082989063636363,5.383676123636364,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2005,16,0.75,4046.5,11.496355824999998,6.456975150000001,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2006,25,1.2,4312.32,11.874392224000001,7.144927468,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2007,35,1.5714285714285714,4967.114285714286,12.14245211457143,6.121688148571428,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2008,37,2.027027027027027,5732.513513513513,10.728885235135134,4.677810543243242,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2009,44,1.8409090909090908,5479.181818181818,11.348865042500002,6.077755219772729,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2010,67,1.2537313432835822,4458.20895522388,11.151402026865672,3.4106246416417907,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2011,93,1.8279569892473118,5127.8279569892475,11.402989838494625,4.5503043000000005,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2012,96,1.4583333333333333,4358.083333333333,11.557280915104165,3.8136746831250004,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2013,124,1.2419354838709677,4815.024193548387,12.029122967580644,4.781210439032258,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2014,134,2.0597014925373136,5182.507462686567,12.174430733955223,4.950586652985075,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2015,149,1.9328859060402686,5289.543624161074,12.23409755637584,5.546186398456376,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2016,151,1.7549668874172186,5217.6556291390725,12.001281139668876,5.88968921589404,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2017,136,1.75,5715.676470588235,12.683126621544117,6.3698990225,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2018,99,2.1616161616161618,8009.888888888889,12.679631764040407,6.985327004242423,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
2019,93,1.8064516129032258,9325.182795698925,12.389034289247313,8.815751086559139,False,adult;blogsandpersonal;entertainment - alcoholandtobacco;blogsandpersonal;entertainment - blogsandpersonal;entertainment - blogsandpersonal;entertainment;games - blogsandpersonal;entertainment;newsandmedia - blogsandpersonal;entertainment;religion - blogsandpersonal;entertainment;shopping - 
