year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2405.0,11.55144225,,True,blogsandpersonal;entertainment
2000,2,0.0,2405.0,11.55144225,,True,blogsandpersonal;entertainment
2001,6,0.5,2755.5,11.49284091,16.0302975,True,blogsandpersonal;entertainment
2002,10,0.0,2409.2,12.10151161,,True,blogsandpersonal;entertainment
2003,10,0.0,2644.7,12.30413821,15.20269789,True,blogsandpersonal;entertainment
2004,11,0.0,3864.9090909999995,12.08298907,14.80510934,True,blogsandpersonal;entertainment
2005,16,0.75,4046.5,12.26277955,14.75880035,True,blogsandpersonal;entertainment
2006,25,1.2,4312.32,12.36915857,14.88526556,True,blogsandpersonal;entertainment
2007,33,1.6666666666666667,5050.424242,12.09063951,15.30422037,True,blogsandpersonal;entertainment
2008,37,2.027027027027027,5732.513514,12.02935617,15.73445365,True,blogsandpersonal;entertainment
2009,41,1.829268292682927,5587.195122,12.35267026,15.69112145,True,blogsandpersonal;entertainment
2010,60,1.3,4646.566667,12.17048412,15.23959202,True,blogsandpersonal;entertainment
2011,87,1.9080459770114941,5326.321839,12.18065848,15.16532985,True,blogsandpersonal;entertainment
2012,88,1.4318181818181819,4442.8295450000005,12.31516993,14.71194782,True,blogsandpersonal;entertainment
2013,114,1.2280701754385965,4927.666667,12.53434942,14.87498719,True,blogsandpersonal;entertainment
2014,125,2.112,5330.456,12.43845133,15.14166247,True,blogsandpersonal;entertainment
2015,134,1.9776119402985075,5376.932836,12.46442408,15.03445125,True,blogsandpersonal;entertainment
2016,139,1.776978417266187,5211.079137,12.34809178,15.02589767,True,blogsandpersonal;entertainment
2017,124,1.846774193548387,5678.766129,12.56515667,15.19474533,True,blogsandpersonal;entertainment
2018,91,2.3516483516483517,7776.120879000001,12.50410536,15.24917826,True,blogsandpersonal;entertainment
2019,87,1.8850574712643677,9340.413793000002,12.29985536,14.59427137,True,blogsandpersonal;entertainment
