year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,2,3.0,7530.5,14.61089443,15.79583608,True,blogsandpersonal;socialnetworking
2008,1,6.0,9267.0,14.6731701,15.90318901,True,blogsandpersonal;socialnetworking
2009,1,6.0,9502.0,14.38511173,15.90318901,True,blogsandpersonal;socialnetworking
2010,2,6.0,9502.0,14.38511173,15.90318901,True,blogsandpersonal;socialnetworking
2011,2,6.0,9417.0,14.29407925,15.90318901,True,blogsandpersonal;socialnetworking
2013,2,0.0,21340.0,15.73070733,15.02112968,True,blogsandpersonal;socialnetworking
2014,2,0.0,25981.0,13.6082929,15.20269789,True,blogsandpersonal;socialnetworking
2015,2,0.0,26190.0,13.62711283,15.06678064,True,blogsandpersonal;socialnetworking
2016,2,0.0,26174.0,13.62288477,15.06678064,True,blogsandpersonal;socialnetworking
2017,2,0.0,26904.0,13.83361737,15.6451,True,blogsandpersonal;socialnetworking
