year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,1.0,2873.0,13.13012521,,True,business;entertainment
1999,7,5.428571428571429,4368.571429,13.68154547,13.99665306,True,business;entertainment
2000,81,3.9753086419753085,5446.802469,12.23733867,14.25669366,True,business;entertainment
2001,131,6.8396946564885495,6802.916031000001,12.51226482,14.68775455,True,business;entertainment
2002,189,6.063492063492063,6842.899471,12.67341152,14.66498733,True,business;entertainment
2003,219,6.351598173515982,6930.922374,13.08260443,14.91580044,True,business;entertainment
2004,271,6.974169741697417,8100.896679,12.98548435,15.03330663,True,business;entertainment
2005,303,6.188118811881188,8096.584158,12.96457894,14.95638722,True,business;entertainment
2006,401,5.501246882793017,8625.418953,12.97166674,15.03744437,True,business;entertainment
2007,492,5.676829268292683,8897.25,12.93285817,15.04767943,True,business;entertainment
2008,597,5.341708542713568,8731.490787,12.9095028,15.04573097,True,business;entertainment
2009,634,5.108832807570978,8737.747634000001,12.99887716,15.16626206,True,business;entertainment
2010,776,4.885309278350515,8790.833762999999,13.0402856,15.23935939,True,business;entertainment
2011,1038,4.9152215799614645,9427.495182999999,13.0070013,15.29943744,True,business;entertainment
2012,1244,5.066720257234727,10093.1463,13.13277721,15.35367589,True,business;entertainment
2013,1403,5.312188168210977,10588.7712,13.18597054,15.42505808,True,business;entertainment
2014,1486,5.460969044414536,11117.973759999999,13.22504611,15.37568813,True,business;entertainment
2015,1598,5.382352941176471,11381.19024,13.16722594,15.37274509,True,business;entertainment
2016,1642,5.295980511571255,11791.342270000001,13.18042507,15.42524107,True,business;entertainment
2017,1619,5.6812847436689315,12427.05744,13.28212293,15.5414855,True,business;entertainment
2018,1294,5.768160741885626,14555.331530000001,13.19659649,15.41156225,True,business;entertainment
2019,1344,6.113095238095238,16291.64955,13.23727247,15.31581126,True,business;entertainment
