year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,4,0.0,2596.75,9.152643623,12.34062658,True,business;gambling
2001,1,0.0,1078.0,,,True,business;gambling
2002,5,0.0,4328.0,11.79175042,14.07733116,True,business;gambling
2003,9,0.8888888888888888,8233.444444,12.77290798,15.61741429,True,business;gambling
2004,15,0.5333333333333333,7380.4,12.89418669,15.45473955,True,business;gambling
2005,16,0.6875,6881.625,12.69411702,15.18268867,True,business;gambling
2006,19,1.263157894736842,7032.1052629999995,13.15928899,15.25113631,True,business;gambling
2007,34,1.6764705882352942,7418.823529,12.9254534,15.31340726,True,business;gambling
2008,27,1.6666666666666667,6927.851852,12.76687374,15.54523847,True,business;gambling
2009,25,0.44,7118.2,12.40765264,15.01812326,True,business;gambling
2010,33,1.7575757575757576,5993.7272729999995,12.72922859,15.44670279,True,business;gambling
2011,52,1.6923076923076923,7050.0,12.97483176,15.47445379,True,business;gambling
2012,52,1.6923076923076923,7763.230769,12.96908529,15.3525092,True,business;gambling
2013,52,1.8076923076923077,7868.403845999999,13.23860342,15.57625582,True,business;gambling
2014,53,1.5849056603773586,8081.528302,13.04812972,15.61435149,True,business;gambling
2015,49,1.510204081632653,8654.081633,12.88421067,15.45674406,True,business;gambling
2016,55,1.509090909090909,9126.145455,12.94222337,15.32669148,True,business;gambling
2017,47,1.5319148936170213,9043.212765999999,13.501133600000001,15.906915,True,business;gambling
2018,40,2.475,9410.3,13.77789275,15.878517,True,business;gambling
2019,28,2.357142857142857,7924.5,13.78807294,15.493661499999998,True,business;gambling
