year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2003,2,0.0,1593.5,5.796384415,0.0,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2004,2,2.0,4657.0,13.334299405,0.0,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2005,6,9.0,6057.666666666667,11.658433081666667,13.540173558333331,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2006,4,7.5,5199.25,11.7122851175,10.0502833175,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2007,2,0.0,7240.5,11.261289529999999,12.876491049999998,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2008,6,0.0,4710.0,11.133650440000002,9.658019014999999,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2009,15,0.8666666666666667,5720.333333333333,12.038119940266666,10.172404239999999,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2010,18,1.6666666666666667,6037.388888888889,12.186534434111111,10.201710305555556,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2011,17,0.8823529411764706,5156.64705882353,11.616647135294118,8.113256382352942,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2012,29,1.0344827586206897,4277.0,11.709042507931036,4.854569906896551,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2013,32,1.25,3648.0625,12.007353298437499,3.228713778125,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2014,30,1.3333333333333333,3765.5666666666666,12.294910062333335,4.284657987,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2015,32,1.21875,3581.21875,12.1421579871875,4.450393165,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2016,33,1.0,4276.090909090909,12.58339624809091,5.331786524242425,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2017,20,0.55,4465.75,11.924600053499997,4.8713188315,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2018,18,4.5,15063.0,12.557186554000001,8.842768927777776,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
2019,25,6.64,21135.36,13.321141108479999,11.203761324000002,False,business;messageboardsandforums - business;messageboardsandforums;shopping - business;messageboardsandforums;vehicles - business;messageboardsandforums;weapons - 
