year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,2013.0,10.55957046,0.0,False,business;personals - 
2002,2,0.0,2013.0,10.55957046,0.0,False,business;personals - 
2003,2,0.0,2013.0,10.55957046,0.0,False,business;personals - 
2004,4,0.0,4417.0,12.4711357075,7.2632720125,False,business;personals - 
2005,2,0.0,4609.0,12.382029225,7.10817104,False,business;personals - 
2006,2,0.0,2013.0,10.55957046,0.0,False,business;personals - 
2007,3,1.0,5973.333333333333,12.917232830000001,6.176270150000001,False,business;personals - 
2008,4,1.5,7953.5,14.096064015,9.264405224999999,False,business;personals - 
2009,4,1.5,7954.5,14.096064015,9.264405224999999,False,business;personals - 
2010,3,2.0,10237.0,15.427153056666667,12.608369349999998,False,business;personals - 
2011,6,3.0,9016.166666666666,14.743144961666667,12.138319175,False,business;personals - 
2012,7,3.0,10239.0,14.336207957142857,12.266574364285715,False,business;personals - 
2013,9,3.2222222222222223,10598.888888888889,13.945939066666664,12.58276828888889,False,business;personals - 
2014,14,3.142857142857143,10503.07142857143,13.849598885714286,13.662191935714286,False,business;personals - 
2015,11,3.0,10456.90909090909,13.764788972727272,13.13117319090909,False,business;personals - 
2016,10,2.6,8991.1,13.873461640000002,11.67496878,False,business;personals - 
2017,12,2.5833333333333335,9867.75,14.083953116666668,9.646193541666667,False,business;personals - 
2018,11,3.272727272727273,14090.454545454546,13.987467863636363,12.799337636363635,False,business;personals - 
2019,4,1.75,16450.75,13.4873373225,11.767737115,False,business;personals - 
