year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,2013.0,10.55957046,,True,business;personals
2002,2,0.0,2013.0,10.55957046,,True,business;personals
2003,2,0.0,2013.0,10.55957046,,True,business;personals
2004,4,0.0,4417.0,12.47113571,14.52654402,True,business;personals
2005,2,0.0,4609.0,12.38202922,14.21634208,True,business;personals
2006,2,0.0,2013.0,10.55957046,,True,business;personals
2007,3,1.0,5973.333333,12.91723283,18.52881045,True,business;personals
2008,4,1.5,7953.5,14.09606402,18.52881045,True,business;personals
2009,4,1.5,7954.5,14.09606402,18.52881045,True,business;personals
2010,3,2.0,10237.0,15.42715306,18.91255403,True,business;personals
2011,6,3.0,9016.166667,14.74314496,18.20747876,True,business;personals
2012,7,3.0,10239.0,14.33620796,17.17320411,True,business;personals
2013,9,3.2222222222222223,10598.88889,13.94593907,16.17784494,True,business;personals
2014,14,3.142857142857143,10503.07143,13.84959889,15.93922392,True,business;personals
2015,11,3.0,10456.909090000001,13.76478897,16.04921168,True,business;personals
2016,10,2.6,8991.1,13.87346164,16.67852682,True,business;personals
2017,12,2.5833333333333335,9867.75,14.08395312,16.53633179,True,business;personals
2018,11,3.272727272727273,14090.45455,13.98746786,15.64363489,True,business;personals
2019,4,1.75,16450.75,13.48733732,15.69031615,True,business;personals
