year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,12078.0,13.24011644,15.20269789,False,business;sports - 
2000,13,5.461538461538462,6074.923076923077,11.647175438461536,8.67619563076923,False,business;sports - 
2001,14,7.928571428571429,7424.285714285715,11.917623235714286,10.727417335714284,False,business;sports - 
2002,25,4.76,6097.72,11.442583508,8.883726144,False,business;sports - 
2003,33,4.7272727272727275,7493.090909090909,12.123295433333334,11.019930203030302,False,business;sports - 
2004,34,2.323529411764706,7237.882352941177,11.940652405882352,10.487857417647058,False,business;sports - 
2005,35,4.685714285714286,8370.514285714286,11.996146577142857,10.421075208571429,False,business;sports - 
2006,39,4.256410256410256,8549.25641025641,12.030275292307692,10.708804512820512,False,business;sports - 
2007,40,5.0,7594.2,12.2613001775,10.224226835,False,business;sports - 
2008,39,3.41025641025641,8486.897435897436,12.739375084615384,11.466112051282051,False,business;sports - 
2009,53,5.320754716981132,9398.452830188678,12.893383573584906,11.721406450943395,False,business;sports - 
2010,66,5.545454545454546,9054.363636363636,12.92011656060606,10.768165436363635,False,business;sports - 
2011,90,5.066666666666666,9786.266666666666,12.840433544444444,10.32743640777778,False,business;sports - 
2012,96,4.40625,9727.739583333334,12.7278701875,10.165495973958333,False,business;sports - 
2013,129,4.542635658914729,10544.922480620155,12.676952868217054,11.203551976744187,False,business;sports - 
2014,128,4.3984375,9577.96875,12.979089148437499,10.690572367187501,False,business;sports - 
2015,134,4.955223880597015,10515.94776119403,12.871240582089552,11.303882656716418,False,business;sports - 
2016,128,5.03125,10948.6953125,13.032227257812501,12.3600709609375,False,business;sports - 
2017,122,5.327868852459017,14262.459016393443,13.271784147540984,13.063090868852457,False,business;sports - 
2018,108,6.027777777777778,15918.657407407407,13.319301175925924,14.280223518518518,False,business;sports - 
2019,119,6.647058823529412,19082.495798319327,13.247926176470587,13.856999403361344,False,business;sports - 
