year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,12078.0,13.24011644,15.20269789,True,business;sports
2000,13,5.461538461538462,6074.923077,11.64717544,14.0988179,True,business;sports
2001,14,7.928571428571429,7424.285714,11.91762324,13.65307661,True,business;sports
2002,25,4.76,6097.72,11.91935782,13.8808221,True,business;sports
2003,33,4.7272727272727275,7493.0909090000005,12.12329543,13.98683449,True,business;sports
2004,34,2.323529411764706,7237.882353,11.94065241,14.26348609,True,business;sports
2005,35,4.685714285714286,8370.514286,11.99614658,14.02837047,True,business;sports
2006,39,4.256410256410256,8549.25641,12.03027529,14.40149572,True,business;sports
2007,40,5.0,7594.2,12.26130018,14.60603834,True,business;sports
2008,39,3.41025641025641,8486.897436,12.73937509,14.90594567,True,business;sports
2009,53,5.320754716981132,9398.45283,12.89338357,15.152061999999999,True,business;sports
2010,66,5.545454545454546,9054.363636,12.92011656,15.12125359,True,business;sports
2011,90,5.066666666666666,9786.266667,12.84043355,15.23720126,True,business;sports
2012,96,4.40625,9727.739583,12.72787019,15.01365559,True,business;sports
2013,129,4.542635658914729,10544.92248,12.77599157,14.89956913,True,business;sports
2014,128,4.3984375,9577.96875,12.97908915,15.03728861,True,business;sports
2015,134,4.955223880597015,10515.94776,12.96801683,14.99723045,True,business;sports
2016,128,5.03125,10948.69531,13.03222725,15.06751508,True,business;sports
2017,122,5.327868852459017,14262.459019999998,13.27178415,15.32401044,True,business;sports
2018,108,6.027777777777778,15918.65741,13.31930118,15.4226414,True,business;sports
2019,119,6.647058823529412,19082.4958,13.47438645,15.55644273,True,business;sports
