year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,1,0.0,18251.0,15.49446864,15.77480295,True,business;virtualreality
2006,2,0.0,10989.0,13.49636689,,True,business;virtualreality
2007,1,0.0,10785.0,13.27847385,,True,business;virtualreality
2010,3,5.0,9568.333333,10.41774492,9.725611199,True,business;virtualreality
2011,1,0.0,11793.0,7.658887847999999,9.725611199,True,business;virtualreality
2012,2,0.0,11284.0,11.54596668,13.3868086,True,business;virtualreality
2013,1,0.0,11741.0,15.81737559,17.19993928,True,business;virtualreality
2014,4,0.0,12087.0,15.42995627,16.81122946,True,business;virtualreality
2015,4,0.0,13192.75,9.982848016,12.38477736,True,business;virtualreality
2016,4,0.0,13135.5,13.9545098,15.5140388,True,business;virtualreality
2017,3,0.0,13153.0,13.9545098,15.5140388,True,business;virtualreality
2018,2,2.0,17936.0,12.02219473,14.9980393,True,business;virtualreality
2019,4,2.0,18058.5,12.07084806,15.17962315,True,business;virtualreality
