year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,0.0,2826.0,9.809912366,,True,drugs;education
2001,3,0.0,5255.333333,11.37136563,14.88311306,True,drugs;education
2002,5,0.0,7095.4,11.77095893,14.52763192,True,drugs;education
2003,6,0.0,5455.666667,12.22442514,14.28902221,True,drugs;education
2004,6,0.0,5554.0,12.28265006,14.28902221,True,drugs;education
2005,2,0.0,3575.0,10.82484092,,True,drugs;education
2006,3,0.0,3124.333333,10.82484092,,True,drugs;education
2007,2,0.0,3575.0,10.82484092,,True,drugs;education
2008,3,0.0,4331.333333,11.68171739,14.16717447,True,drugs;education
2009,8,0.0,4659.375,11.97546077,14.14248067,True,drugs;education
2010,11,0.6363636363636364,4977.4545450000005,12.03856874,14.55913158,True,drugs;education
2011,17,1.411764705882353,5144.823529,12.74319759,14.68677816,True,drugs;education
2012,18,0.0,5524.666667,12.68946876,14.69036132,True,drugs;education
2013,25,0.32,6096.12,12.43029548,14.55220032,True,drugs;education
2014,24,0.75,6976.625,12.36830946,15.00292433,True,drugs;education
2015,26,1.0769230769230769,7867.538462,12.7000273,14.82868999,True,drugs;education
2016,30,1.0666666666666667,9076.0,12.81937795,14.99627955,True,drugs;education
2017,32,1.0625,7834.15625,13.02189994,15.41282276,True,drugs;education
2018,24,1.9583333333333333,10926.04167,13.11550396,15.32158289,True,drugs;education
2019,33,2.5454545454545454,12098.51515,13.26972986,15.54698568,True,drugs;education
