year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,4.0,3468.0,10.33721178,,True,education;foodandrecipes
2001,2,4.0,3482.0,10.29948848,,True,education;foodandrecipes
2002,2,4.0,3482.0,10.29948848,,True,education;foodandrecipes
2003,2,4.0,3482.0,10.29948848,,True,education;foodandrecipes
2004,2,4.0,5150.0,9.67257732,12.688352900000002,True,education;foodandrecipes
2005,2,4.0,5150.0,9.67257732,12.688352900000002,True,education;foodandrecipes
2006,2,4.0,5150.0,9.67257732,12.688352900000002,True,education;foodandrecipes
2007,2,4.0,5052.0,9.633999809,12.63128222,True,education;foodandrecipes
2008,3,5.333333333333333,5214.666667,11.0085224,13.28822148,True,education;foodandrecipes
2009,4,3.0,3514.75,12.09557573,13.61669111,True,education;foodandrecipes
2010,11,2.6363636363636362,4381.5454549999995,12.23727437,14.10749589,True,education;foodandrecipes
2011,12,2.8333333333333335,4774.166667,12.19629881,14.28235156,True,education;foodandrecipes
2012,14,5.142857142857143,4760.785714,12.10503206,14.04533671,True,education;foodandrecipes
2013,17,5.294117647058823,4568.117647,12.1473129,14.25443152,True,education;foodandrecipes
2014,18,5.888888888888889,4866.777778,11.76817465,13.95241142,True,education;foodandrecipes
2015,16,3.625,4025.3125,11.85381791,13.95622072,True,education;foodandrecipes
2016,19,3.8947368421052633,4292.315789,12.14881123,14.39908266,True,education;foodandrecipes
2017,16,4.625,4334.875,12.24047058,14.37896699,True,education;foodandrecipes
2018,15,3.6666666666666665,4892.333333,12.80188144,14.81665495,True,education;foodandrecipes
2019,11,5.0,4431.818182,12.62751037,14.4533481,True,education;foodandrecipes
