year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,5,17.8,5463.2,10.6678383,13.89093085,True,education;games
2002,8,13.5,6020.375,11.29262367,14.49959938,True,education;games
2003,8,8.5,3994.25,10.831774699999999,14.04098113,True,education;games
2004,7,15.285714285714286,4188.571429,10.43755885,14.32445407,True,education;games
2005,10,11.2,3567.0,10.32899922,14.71276709,True,education;games
2006,24,9.333333333333334,6408.208333,11.79589564,14.64663834,True,education;games
2007,26,8.923076923076923,6596.923077,12.11036411,14.71080348,True,education;games
2008,31,8.258064516129032,5791.967742,11.94931742,14.64997044,True,education;games
2009,31,10.516129032258064,7161.516129000001,12.11625083,14.79995642,True,education;games
2010,52,11.653846153846153,10066.21154,12.59222575,15.231247,True,education;games
2011,74,9.554054054054054,10402.64865,12.76773293,15.32080652,True,education;games
2012,90,7.3,9802.666667,12.64300006,15.21802191,True,education;games
2013,107,7.233644859813084,9863.476636,12.63382083,15.0394415,True,education;games
2014,131,6.595419847328245,8943.946565,12.54834844,14.76501465,True,education;games
2015,139,5.539568345323741,9731.676259,12.63389946,14.82312144,True,education;games
2016,140,5.928571428571429,8358.128571,12.53842164,14.88788871,True,education;games
2017,138,8.73913043478261,8960.746377,12.60056895,14.79710873,True,education;games
2018,133,7.593984962406015,10391.79699,12.81883083,15.29689767,True,education;games
2019,138,7.086956521739131,11934.71739,12.65469195,14.77887122,True,education;games
