year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,4,5.75,2332.5,10.21219004,,True,education;mediasharing
2001,5,9.2,2339.6,10.0774625,,True,education;mediasharing
2002,4,11.5,2512.25,9.839367244,,True,education;mediasharing
2003,4,11.5,2437.5,9.816108637000001,,True,education;mediasharing
2004,4,7.5,2528.75,10.40402123,13.34837121,True,education;mediasharing
2005,3,12.333333333333334,3779.666667,10.74880092,13.34837121,True,education;mediasharing
2006,4,15.0,3719.0,10.35685919,13.34837121,True,education;mediasharing
2007,3,6.333333333333333,3515.333333,11.89546716,13.34837121,True,education;mediasharing
2008,4,7.0,5157.5,12.40632794,14.40780666,True,education;mediasharing
2009,10,2.8,3547.8,11.78888407,14.28649791,True,education;mediasharing
2010,15,3.3333333333333335,4354.133333,12.33979779,14.65785512,True,education;mediasharing
2011,18,1.7777777777777777,4681.777778,12.29975198,14.74729366,True,education;mediasharing
2012,31,2.129032258064516,4289.580645,12.53950773,14.68668114,True,education;mediasharing
2013,33,1.696969696969697,4034.0,12.35195887,14.60834501,True,education;mediasharing
2014,32,1.8125,3977.9375,12.37597968,14.60834501,True,education;mediasharing
2015,39,1.8205128205128205,4000.564103,12.40355467,14.76970047,True,education;mediasharing
2016,47,1.8297872340425532,4092.042553,12.42906508,14.79523445,True,education;mediasharing
2017,47,2.25531914893617,4298.06383,12.37827217,14.84279915,True,education;mediasharing
2018,41,1.8048780487804879,4267.878049,12.4107212,15.04811122,True,education;mediasharing
2019,36,1.6944444444444444,4194.305556,12.43175736,14.79210043,True,education;mediasharing
