year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,5299.0,14.73675892,16.0302975,True,education;religion
2000,14,3.5,5266.0,12.47588062,14.6921698,True,education;religion
2001,22,2.3636363636363638,5432.136364,12.37894218,14.27726256,True,education;religion
2002,29,3.7241379310344827,5616.586207,11.95739298,13.95289964,True,education;religion
2003,33,3.6666666666666665,5249.5454549999995,11.89368657,14.12868494,True,education;religion
2004,41,1.951219512195122,5678.0,12.03350929,14.42833031,True,education;religion
2005,45,2.933333333333333,6234.822222,11.97901999,14.41033253,True,education;religion
2006,60,2.8333333333333335,6537.6,12.19719541,14.51470645,True,education;religion
2007,57,4.43859649122807,8392.842105,12.63292972,14.81313576,True,education;religion
2008,56,3.982142857142857,7649.982143000001,12.35217071,14.59437932,True,education;religion
2009,55,3.4,7246.981818000001,12.36172332,14.59719495,True,education;religion
2010,75,3.013333333333333,6933.16,12.34620947,14.80698514,True,education;religion
2011,101,3.01980198019802,6280.019802000001,12.14805023,14.67529715,True,education;religion
2012,115,3.9304347826086956,7348.93913,12.1102988,14.71065847,True,education;religion
2013,137,3.7226277372262775,7284.627737000001,12.28878504,14.76604249,True,education;religion
2014,146,3.5616438356164384,8096.321918000001,12.46464295,14.81917956,True,education;religion
2015,161,3.422360248447205,8352.695652,12.54396935,14.85349179,True,education;religion
2016,166,3.6987951807228914,8764.150602,12.64387696,14.89967311,True,education;religion
2017,154,3.9805194805194803,9238.214286,12.82296517,15.01488785,True,education;religion
2018,136,4.352941176470588,12166.60294,12.98830927,15.09204222,True,education;religion
2019,162,4.814814814814815,12238.82099,13.03896323,15.13677588,True,education;religion
