year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,13,8.0,5497.846154,11.60175105,13.14195983,True,entertainment;games
2001,17,7.705882352941177,4500.647059000001,11.39412083,13.15760791,True,entertainment;games
2002,35,6.085714285714285,5599.714286,12.24015204,14.14432953,True,entertainment;games
2003,36,3.9444444444444446,4694.916667,11.98946531,14.20552689,True,entertainment;games
2004,47,4.0212765957446805,5372.0,12.0898793,15.00924064,True,entertainment;games
2005,59,7.508474576271187,7305.101695,12.20162319,14.7292168,True,entertainment;games
2006,80,9.5375,8355.5875,12.49639487,14.64324364,True,entertainment;games
2007,114,7.7368421052631575,8277.561404,12.89218014,15.44962753,True,entertainment;games
2008,159,7.188679245283019,7271.553459000001,12.73467109,15.03393071,True,entertainment;games
2009,187,5.689839572192513,6870.978609999999,12.80740114,15.04460548,True,entertainment;games
2010,248,7.145161290322581,7551.455645,12.88116446,15.03172507,True,entertainment;games
2011,360,6.55,7869.088889,12.98292471,15.10551833,True,entertainment;games
2012,439,7.236902050113895,8426.218679000001,12.93476021,15.08113062,True,entertainment;games
2013,463,6.691144708423326,8617.008639,12.99566439,15.26259009,True,entertainment;games
2014,497,6.116700201207244,8703.380282,12.89786321,15.20471678,True,entertainment;games
2015,532,5.569548872180451,8479.637218,12.8961713,15.15315884,True,entertainment;games
2016,601,5.851913477537438,9158.440932,12.90715663,15.22942886,True,entertainment;games
2017,564,6.281914893617022,9555.764184,12.89150466,15.12900024,True,entertainment;games
2018,511,6.340508806262231,10713.34442,12.89652335,14.8739782,True,entertainment;games
2019,464,7.209051724137931,12183.34914,12.84115438,14.867479199999998,True,entertainment;games
