year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2969.0,11.12536232,0.0,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2000,2,0.0,4428.0,14.700045315,8.34405,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2001,6,0.0,2371.5,14.380590873333333,3.52586995,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2002,6,0.0,1965.6666666666667,14.484602175000001,0.0,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2003,2,0.0,931.0,20.397962965,0.0,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2004,4,2.0,1388.5,17.3042989425,0.0,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2005,4,2.0,1388.5,17.3042989425,0.0,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2006,10,0.8,2834.6,14.785466151,3.062269564,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2007,12,0.6666666666666666,3928.0833333333335,14.551833339166668,3.2313101549999996,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2008,13,0.6153846153846154,3409.076923076923,13.713195383846154,3.700997577692308,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2009,10,0.6,4141.5,13.420364351,4.786820157999999,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2010,14,0.14285714285714285,5436.714285714285,11.874753928571428,7.774772919999999,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2011,25,1.76,7630.8,12.807912463599997,9.765463667199999,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2012,29,2.3793103448275863,6308.172413793103,12.241563072413793,8.28963424862069,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2013,34,2.411764705882353,6505.941176470588,12.132640104117646,7.355560302058825,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2014,32,2.90625,7781.28125,12.1977371571875,7.7865034553125,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2015,27,2.888888888888889,6341.0,12.222118285185186,7.601180107037037,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2016,24,2.7916666666666665,7288.375,12.269528103749998,7.812946560416666,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2017,18,2.2777777777777777,6994.722222222223,11.02666689888889,6.799029821111111,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2018,14,3.2857142857142856,8490.142857142857,12.419920964285714,6.614768751428571,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
2019,17,3.235294117647059,10861.941176470587,12.1588543,8.61471703882353,False,adult;entertainment;messageboardsandforums - education;entertainment;messageboardsandforums - entertainment;messageboardsandforums - entertainment;messageboardsandforums;shopping - entertainment;messageboardsandforums;weapons - 
