year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2969.0,11.12536232,,True,entertainment;messageboardsandforums
2000,2,0.0,4428.0,14.70004531,16.6881,True,entertainment;messageboardsandforums
2001,4,0.0,3087.0,11.37190483,10.57760985,True,entertainment;messageboardsandforums
2002,4,0.0,2483.0,11.52792178,,True,entertainment;messageboardsandforums
2004,2,4.0,1846.0,14.21063492,,True,entertainment;messageboardsandforums
2005,2,4.0,1846.0,14.21063492,,True,entertainment;messageboardsandforums
2006,5,1.6,3249.2,13.74580942,15.31134782,True,entertainment;messageboardsandforums
2007,6,1.3333333333333333,5203.833333,13.60588997,19.38786093,True,entertainment;messageboardsandforums
2008,5,1.6,4118.4,12.18721652,19.38786093,True,entertainment;messageboardsandforums
2009,3,1.3333333333333333,5305.333333,13.059023800000002,19.38786093,True,entertainment;messageboardsandforums
2010,6,0.0,6140.666667,13.15303809,19.38786093,True,entertainment;messageboardsandforums
2011,5,0.0,6164.0,13.05788693,19.38786093,True,entertainment;messageboardsandforums
2012,7,0.7142857142857143,3670.285714,11.59083754,19.38786093,True,entertainment;messageboardsandforums
2013,8,0.625,2399.25,10.85228382,,True,entertainment;messageboardsandforums
2014,6,0.0,2519.0,10.53062165,,True,entertainment;messageboardsandforums
2015,5,2.0,1950.2,10.88927897,,True,entertainment;messageboardsandforums
2016,1,5.0,1275.0,11.66514286,,True,entertainment;messageboardsandforums
2018,2,8.5,26342.5,13.660202400000001,15.86684102,True,entertainment;messageboardsandforums
2019,6,0.6666666666666666,12241.16667,11.18203717,16.48601716,True,entertainment;messageboardsandforums
