year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,2.0,1714.0,14.937409400000002,,True,entertainment;newsandmedia
1999,10,2.5,4258.3,12.92824928,15.08467255,True,entertainment;newsandmedia
2000,46,3.4782608695652173,6468.065217,12.34847897,14.46573808,True,entertainment;newsandmedia
2001,74,5.837837837837838,9314.081081,12.91174512,14.95008258,True,entertainment;newsandmedia
2002,99,7.5353535353535355,10059.0101,12.85075073,14.88257647,True,entertainment;newsandmedia
2003,110,7.327272727272727,10569.64545,12.76562573,14.76437826,True,entertainment;newsandmedia
2004,115,7.217391304347826,10531.5913,12.79916546,14.61994603,True,entertainment;newsandmedia
2005,112,5.053571428571429,10065.27679,13.00855657,15.06359613,True,entertainment;newsandmedia
2006,161,4.422360248447205,9469.826087000001,13.08920668,15.13082588,True,entertainment;newsandmedia
2007,189,4.4867724867724865,10824.25397,13.5857325,15.37234551,True,entertainment;newsandmedia
2008,170,4.570588235294117,9552.0,13.87334364,15.57652985,True,entertainment;newsandmedia
2009,214,4.799065420560748,10229.91589,14.06769538,16.11401836,True,entertainment;newsandmedia
2010,297,4.494949494949495,10901.27273,13.96872996,16.05000207,True,entertainment;newsandmedia
2011,403,5.421836228287841,11933.02233,13.54217119,15.59144211,True,entertainment;newsandmedia
2012,467,5.8586723768736615,12856.9636,13.44271702,15.44430789,True,entertainment;newsandmedia
2013,528,5.354166666666667,12612.89773,13.43541888,15.52978615,True,entertainment;newsandmedia
2014,590,5.169491525423729,12682.74576,13.46804893,15.50424579,True,entertainment;newsandmedia
2015,668,5.206586826347305,12757.07036,13.42820319,15.53369053,True,entertainment;newsandmedia
2016,745,4.954362416107383,12569.82148,13.33966577,15.58558008,True,entertainment;newsandmedia
2017,739,4.976995940460081,13118.96888,13.45562766,15.61915284,True,entertainment;newsandmedia
2018,577,5.954939341421144,16588.89948,13.37438173,15.40248263,True,entertainment;newsandmedia
2019,596,5.974832214765101,17175.362419999998,13.34990124,15.28438444,True,entertainment;newsandmedia
