year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,8.5,4749.0,12.412812715,6.286933349999999,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
1999,3,6.333333333333333,5912.0,12.527889376666666,8.930069593333334,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2000,25,8.96,7179.68,11.704589315200002,8.7977153832,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2001,45,5.866666666666666,6164.577777777778,11.633993693333332,8.762702251111111,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2002,61,6.836065573770492,7421.377049180328,11.958637909836066,9.785326015573771,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2003,79,6.974683544303797,7965.151898734177,12.575958074177215,9.750273851898733,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2004,96,4.979166666666667,7562.010416666667,13.031929754895833,9.41995934875,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2005,102,4.7745098039215685,8037.323529411765,12.707310358529412,9.385363089901961,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2006,136,5.301470588235294,9279.948529411764,12.773556869117646,10.643525026470586,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2007,137,5.481751824817518,10463.94890510949,12.926094818978102,11.09075244379562,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2008,192,6.489583333333333,9429.630208333334,13.042235944791669,11.466330678645832,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2009,206,7.019417475728155,9913.019417475729,12.892459259708739,11.717542672961164,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2010,320,7.025,9691.878125,13.2007947701875,12.5916699470625,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2011,376,6.61968085106383,10256.053191489362,13.132684487207449,11.656091722074466,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2012,470,6.272340425531915,10790.146808510639,13.30004974508511,11.27094793638298,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2013,521,6.3071017274472165,10822.476007677544,13.47125979328215,11.519497334357007,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2014,529,6.23062381852552,10966.697542533082,13.54211206162571,11.376648560491493,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2015,549,6.358834244080145,11534.016393442624,13.467441420218577,11.554035167577412,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2016,559,6.2397137745974955,12578.951699463327,13.476747696601073,11.9081064960644,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2017,560,6.930357142857143,14863.169642857143,13.309232262196428,12.601285117285716,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2018,506,7.324110671936759,17895.470355731224,13.545140969486168,13.454668044268775,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
2019,477,7.19916142557652,18903.830188679247,13.512297552587002,13.720632374213837,False,adult;entertainment;sports - business;entertainment;sports - education;entertainment;sports - entertainment;sports - entertainment;sports;streamingmedia - 
