year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,5.0,1640.0,14.63325896,,True,entertainment;sports
1999,2,3.5,4939.0,13.69565083,14.21634208,True,entertainment;sports
2000,19,8.578947368421053,6999.263158,12.06530109,14.22959647,True,entertainment;sports
2001,31,5.741935483870968,5664.645161,11.78056538,14.52901854,True,entertainment;sports
2002,35,6.171428571428572,5945.771429,12.00183651,15.10747218,True,entertainment;sports
2003,41,6.7317073170731705,6468.682927000001,12.29370508,15.24151002,True,entertainment;sports
2004,60,5.466666666666667,7171.2,12.64178309,15.37495396,True,entertainment;sports
2005,62,5.064516129032258,7045.951612999999,12.74281809,15.4488488,True,entertainment;sports
2006,85,4.447058823529412,6871.258824,12.79161244,15.39822346,True,entertainment;sports
2007,79,4.594936708860759,7711.43038,13.099930800000001,15.64976016,True,entertainment;sports
2008,129,6.10077519379845,7523.984495999999,13.27426505,15.50703269,True,entertainment;sports
2009,149,6.617449664429531,8106.221476999999,13.24179586,15.40368004,True,entertainment;sports
2010,240,6.7,8285.308332999999,13.39439232,15.53627899,True,entertainment;sports
2011,280,6.128571428571429,9022.267856999999,13.45872437,15.23331512,True,entertainment;sports
2012,342,5.7105263157894735,9528.175439,13.61412383,15.162715599999999,True,entertainment;sports
2013,375,5.693333333333333,9471.642667,13.65307389,15.25114856,True,entertainment;sports
2014,377,5.50132625994695,9502.257294,13.72305111,15.29300804,True,entertainment;sports
2015,391,5.621483375959079,9986.884909999999,13.64730161,15.11483049,True,entertainment;sports
2016,409,5.466992665036675,11246.49633,13.61302824,15.75691935,True,entertainment;sports
2017,417,6.03357314148681,13674.338130000002,13.43887454,16.075412,True,entertainment;sports
2018,386,6.927461139896373,17352.94819,13.77708118,16.31824741,True,entertainment;sports
2019,357,6.389355742296919,18003.63305,13.66833283,16.34199375,True,entertainment;sports
