year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,8.0,1667.0,15.89768421,,True,entertainment;streamingmedia
1998,1,8.0,1667.0,15.89768421,,True,entertainment;streamingmedia
1999,7,13.714285714285714,7236.142856999999,13.54625177,14.63477126,True,entertainment;streamingmedia
2000,16,13.25,9762.9375,12.29658409,14.03452608,True,entertainment;streamingmedia
2001,23,4.608695652173913,8638.217391,11.93719619,13.85917378,True,entertainment;streamingmedia
2002,29,4.551724137931035,8312.482759,11.95992305,14.36858388,True,entertainment;streamingmedia
2003,32,4.15625,8837.84375,12.13364208,14.49429244,True,entertainment;streamingmedia
2004,32,5.96875,9344.0,12.3441121,14.85455467,True,entertainment;streamingmedia
2005,38,6.2105263157894735,11380.52632,12.43366224,15.29715598,True,entertainment;streamingmedia
2006,50,5.56,10519.42,12.15874558,14.77709108,True,entertainment;streamingmedia
2007,60,4.766666666666667,9180.216667,12.09012226,14.60324462,True,entertainment;streamingmedia
2008,87,4.850574712643678,9949.747126,12.74394491,15.44139133,True,entertainment;streamingmedia
2009,115,4.626086956521739,9175.617391,12.81873771,15.33368382,True,entertainment;streamingmedia
2010,160,3.475,8568.55625,12.99140204,15.41044363,True,entertainment;streamingmedia
2011,218,3.706422018348624,8540.050459,12.87401395,15.36967946,True,entertainment;streamingmedia
2012,272,3.4301470588235294,7489.422794,12.90614323,15.16904118,True,entertainment;streamingmedia
2013,325,3.6769230769230767,8278.28,12.98762344,15.17453723,True,entertainment;streamingmedia
2014,352,3.5426136363636362,8550.457386,13.24175056,15.39043179,True,entertainment;streamingmedia
2015,396,3.5025252525252526,8459.272727,13.19112182,15.30588628,True,entertainment;streamingmedia
2016,448,3.0669642857142856,7930.848214,13.11964218,15.19652272,True,entertainment;streamingmedia
2017,442,2.8823529411764706,7871.873303,13.15116738,15.37766348,True,entertainment;streamingmedia
2018,331,3.1842900302114803,8508.241692,13.23904685,15.35478295,True,entertainment;streamingmedia
2019,306,4.003267973856209,11259.5,13.36800371,15.41132937,True,entertainment;streamingmedia
