year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,3,0.0,7619.666667,11.67204435,13.85560825,True,gambling;games
2001,8,0.0,4699.375,11.07021636,13.4113989,True,gambling;games
2002,13,2.1538461538461537,4284.769231,12.54400982,15.4615286,True,gambling;games
2003,27,2.3703703703703702,4889.0,12.28118897,15.08821494,True,gambling;games
2004,38,2.1315789473684212,4685.157895,12.70184334,14.88751458,True,gambling;games
2005,58,2.189655172413793,6163.258621,13.13058976,15.64659199,True,gambling;games
2006,82,2.2195121951219514,6218.195122,13.38734118,15.51786421,True,gambling;games
2007,96,1.71875,6249.635417,13.23207049,15.57882867,True,gambling;games
2008,120,2.316666666666667,7255.6,13.30652314,15.72844046,True,gambling;games
2009,143,1.4335664335664335,6086.48951,13.22418975,15.63953658,True,gambling;games
2010,176,1.2329545454545454,5728.8920450000005,13.36271315,15.89784765,True,gambling;games
2011,213,1.727699530516432,6665.784038000001,13.37776849,15.78275649,True,gambling;games
2012,245,1.5510204081632653,7039.297959,13.52966628,16.04123794,True,gambling;games
2013,264,1.5303030303030303,7648.939394,13.44003683,15.73117352,True,gambling;games
2014,244,1.7540983606557377,8080.331967,13.34094293,15.64137267,True,gambling;games
2015,241,1.6556016597510372,8458.190870999999,13.46029482,15.74533412,True,gambling;games
2016,243,1.7242798353909465,8875.876543,13.3252772,15.49371187,True,gambling;games
2017,201,2.099502487562189,11190.34328,13.3859826,15.40587946,True,gambling;games
2018,165,3.5393939393939395,16369.30909,13.21170516,15.55413897,True,gambling;games
2019,141,3.0141843971631204,18952.65957,13.55584615,15.63208389,True,gambling;games
