year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,0.0,11638.0,11.39786875,13.5591,True,games;informationtech
2001,1,0.0,11638.0,11.39786875,13.5591,True,games;informationtech
2002,2,0.0,2557.5,11.46113982,,True,games;informationtech
2003,2,0.0,2888.0,11.27377528,,True,games;informationtech
2005,3,0.0,10957.0,10.85665839,13.42081328,True,games;informationtech
2006,4,2.0,18777.0,13.40854986,16.06986694,True,games;informationtech
2007,6,1.6666666666666667,13737.666669999999,13.713978299999999,16.43241409,True,games;informationtech
2008,4,1.0,3942.5,12.00118923,13.50681897,True,games;informationtech
2009,6,2.6666666666666665,6994.166667,11.56440364,14.32957532,True,games;informationtech
2010,13,2.1538461538461537,5960.153846,12.36808406,15.49678883,True,games;informationtech
2011,16,2.9375,6816.5625,12.3143586,15.04097715,True,games;informationtech
2012,12,1.6666666666666667,6956.583333,12.19643383,14.68220637,True,games;informationtech
2013,23,2.5652173913043477,8194.652173999999,12.62810945,14.929363500000001,True,games;informationtech
2014,26,2.769230769230769,8674.461538,12.95386599,14.64239626,True,games;informationtech
2015,26,2.423076923076923,8710.692308,12.88957739,14.76908381,True,games;informationtech
2016,30,2.6333333333333333,7675.8,12.88790054,15.21582277,True,games;informationtech
2017,38,2.789473684210526,8722.710526,12.90504292,14.9830407,True,games;informationtech
2018,33,2.787878787878788,7865.0909090000005,12.61789087,14.7230174,True,games;informationtech
2019,38,4.684210526315789,12015.05263,12.49105275,14.376107800000002,True,games;informationtech
