year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,1,6.0,8982.0,12.74408463,14.69652958,True,games;streamingmedia
2007,2,5.0,12177.0,12.76165195,14.26529262,True,games;streamingmedia
2008,1,7.0,8439.0,13.14519451,15.5140388,True,games;streamingmedia
2009,1,7.0,8263.0,12.85981221,15.29246565,True,games;streamingmedia
2010,1,7.0,8263.0,12.85981221,15.29246565,True,games;streamingmedia
2011,1,7.0,8501.0,12.93172494,15.29246565,True,games;streamingmedia
2012,2,7.0,9991.0,13.35854577,15.11225768,True,games;streamingmedia
2014,1,5.0,11005.0,13.49429911,14.88311306,True,games;streamingmedia
2015,2,5.0,10997.0,13.49429911,14.88311306,True,games;streamingmedia
2016,2,5.0,10997.0,13.49429911,14.88311306,True,games;streamingmedia
2017,1,5.0,10997.0,13.49429911,14.88311306,True,games;streamingmedia
