year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,0.0,11060.0,11.26464632,12.91330727,True,informationtech;streamingmedia
2001,1,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2002,1,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2003,2,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2004,2,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2005,1,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2006,2,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2007,2,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2008,1,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2009,2,0.0,11973.0,11.59464872,13.86744224,True,informationtech;streamingmedia
2011,1,0.0,2744.0,13.6869462,,True,informationtech;streamingmedia
2012,3,0.0,4987.0,12.99073012,15.47004243,True,informationtech;streamingmedia
2013,2,0.0,2861.0,13.34722604,,True,informationtech;streamingmedia
2014,2,0.0,2809.0,13.34722604,,True,informationtech;streamingmedia
2015,1,9.0,14524.0,14.86905724,17.4299955,True,informationtech;streamingmedia
2016,2,6.5,8930.0,12.29096204,14.94398555,True,informationtech;streamingmedia
2017,4,6.5,8822.75,12.29731499,14.88660104,True,informationtech;streamingmedia
2018,2,2.0,5378.0,10.44411408,13.06042963,True,informationtech;streamingmedia
2019,1,6.0,20926.0,15.19224887,14.6021,True,informationtech;streamingmedia
