year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2009,1,0.0,732.0,,,True,mediasharing;socialnetworking
2010,2,0.0,732.0,,,True,mediasharing;socialnetworking
2012,8,5.25,12913.375,14.162072699999998,16.00386125,True,mediasharing;socialnetworking
2013,5,4.0,11427.6,10.86974523,14.13732488,True,mediasharing;socialnetworking
2014,7,4.857142857142857,11433.42857,11.435222,13.83445888,True,mediasharing;socialnetworking
2015,7,3.7142857142857144,10770.14286,12.50591984,14.56549725,True,mediasharing;socialnetworking
2016,6,5.666666666666667,12393.83333,12.03575673,14.63968769,True,mediasharing;socialnetworking
2017,3,5.333333333333333,9213.666667,12.18732376,15.12668011,True,mediasharing;socialnetworking
2018,3,9.333333333333334,23467.33333,11.60052475,13.68931235,True,mediasharing;socialnetworking
2019,5,15.2,15381.0,13.33966726,14.47749054,True,mediasharing;socialnetworking
