year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,2,0.0,940.5,20.397962965,0.0,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2002,2,0.0,931.0,20.397962965,0.0,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2003,2,0.0,931.0,20.397962965,0.0,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2004,3,0.0,2139.6666666666665,17.21738044,4.44945707,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2005,4,0.0,2724.0,15.54045188,6.6741856025,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2006,4,0.0,2739.0,15.592434260000001,6.6741856025,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2007,5,0.0,5830.6,15.468268614,8.546730298,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2008,4,0.0,2774.5,15.5411998175,6.5937138725,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2009,7,0.0,2234.5714285714284,11.618020134285715,1.8839182485714285,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2010,10,0.0,2519.0,9.26892979,2.637485549,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2011,9,0.0,2285.777777777778,9.111651247777779,1.4652697488888888,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2012,14,2.0,6026.428571428572,10.958502542857145,7.2958490071428574,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2013,18,3.0,5498.666666666667,9.976154378333334,4.970781515,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2014,17,2.9411764705882355,5636.35294117647,9.759982625294118,6.0576991905882345,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2015,18,2.2222222222222223,4610.0,10.003843363888889,4.718783295555555,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2016,13,2.230769230769231,4610.0,8.987329006153846,3.2422814184615385,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2017,11,2.0,4664.909090909091,7.345170076363636,2.764126889090909,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2018,10,2.9,7526.0,9.249205099,7.498350913,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
2019,19,4.368421052631579,9901.263157894737,11.35654808,10.82820389368421,False,business;messageboardsandforums;weapons - entertainment;messageboardsandforums;weapons - messageboardsandforums;weapons - 
