year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,0.0,2047.0,13.220010344999999,0.0,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2001,4,0.0,1873.5,11.492570745,0.0,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2002,10,0.4,3982.3,11.95812326,2.958038901,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2003,8,0.5,3970.875,11.766081238750001,3.70918649125,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2004,8,0.25,3749.375,12.78845333,1.8487743125,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2005,10,0.0,3186.0,12.366707299000002,1.3917975889999998,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2006,10,0.2,3673.7,11.551231949999998,4.112531751000001,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2007,12,0.16666666666666666,3739.6666666666665,9.8300233425,3.392702700833333,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2008,19,1.263157894736842,5404.736842105263,11.417720209473684,5.568190254736842,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2009,17,1.8823529411764706,6367.941176470588,12.570338072941176,6.180772892941176,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2010,31,2.3548387096774195,6877.0,13.539661419354838,8.86686243516129,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2011,34,1.7647058823529411,7273.970588235294,13.201291763529412,9.789863338823531,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2012,51,1.803921568627451,7258.666666666667,12.920160725294117,7.754916469607842,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2013,64,1.46875,7817.3125,12.58743578875,8.304390136875,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2014,66,1.3636363636363635,8890.742424242424,12.772237304848485,8.626720331666666,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2015,73,1.5890410958904109,8715.369863013699,12.726218867260274,8.527454318630138,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2016,72,2.0416666666666665,10107.902777777777,12.502463299722221,8.479123899166666,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2017,49,3.2857142857142856,13581.795918367347,12.760857138367346,10.15722852632653,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2018,47,3.3617021276595747,13369.468085106382,12.637771048510638,9.306509427659574,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
2019,45,4.444444444444445,17675.71111111111,12.932637224888888,11.859001204888889,False,business;newsandmedia;shopping - education;newsandmedia;shopping - entertainment;newsandmedia;shopping - informationtech;newsandmedia;shopping - newsandmedia;shopping - 
