year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,0.0,2022.0,13.44516775,,True,newsandmedia;shopping
2001,4,0.0,1873.5,11.49257074,,True,newsandmedia;shopping
2002,6,0.0,2220.833333,11.14977409,,True,newsandmedia;shopping
2003,5,0.0,2120.6,10.91167222,,True,newsandmedia;shopping
2004,4,0.0,2787.5,12.37103816,,True,newsandmedia;shopping
2005,4,0.0,2787.5,12.37103816,,True,newsandmedia;shopping
2006,2,0.0,2137.5,14.42375616,,True,newsandmedia;shopping
2007,1,0.0,2240.0,14.20346154,,True,newsandmedia;shopping
2008,3,5.333333333333333,10005.33333,13.376986800000001,15.40133139,True,newsandmedia;shopping
2009,5,5.6,10025.2,13.30389245,15.32007519,True,newsandmedia;shopping
2010,8,4.5,9976.0,13.60521015,15.80087951,True,newsandmedia;shopping
2011,8,2.0,9401.875,13.86769729,16.01505969,True,newsandmedia;shopping
2012,10,2.7,10695.7,13.92465939,16.43379861,True,newsandmedia;shopping
2013,12,2.8333333333333335,14304.666669999999,13.794284,16.20781761,True,newsandmedia;shopping
2014,14,2.5714285714285716,16584.42857,13.77982037,15.96936987,True,newsandmedia;shopping
2015,14,2.5714285714285716,16376.85714,13.70297254,16.01485043,True,newsandmedia;shopping
2016,8,1.75,16317.0,13.80137511,15.48969092,True,newsandmedia;shopping
2017,5,1.4,19956.8,13.54497604,15.57036626,True,newsandmedia;shopping
2018,6,3.6666666666666665,26112.66667,13.31054936,15.786338500000001,True,newsandmedia;shopping
2019,11,2.727272727272727,24946.45455,12.97252254,15.15981127,True,newsandmedia;shopping
