year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2009,2,0.0,2846.0,11.85986157,,True,personals;streamingmedia
2010,5,0.0,3474.6,12.05302333,15.73171695,True,personals;streamingmedia
2011,6,0.0,3843.333333,12.16566838,15.73171695,True,personals;streamingmedia
2012,6,0.0,3687.666667,12.61478892,16.0302975,True,personals;streamingmedia
2013,6,0.0,3073.333333,13.39015654,,True,personals;streamingmedia
2014,6,0.0,3049.0,13.28936221,,True,personals;streamingmedia
2015,6,0.0,3049.0,13.28936221,,True,personals;streamingmedia
2016,6,0.0,3056.333333,13.287746100000001,,True,personals;streamingmedia
2017,1,0.0,3796.0,14.767435899999999,,True,personals;streamingmedia
2019,2,0.0,6566.5,14.03637997,15.68848315,True,personals;streamingmedia
