year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,6.0,3020.0,12.15658009,,True,realestate;travel
2001,2,6.0,3342.0,12.349828500000001,,True,realestate;travel
2002,4,3.0,3220.0,11.79681375,,True,realestate;travel
2003,4,3.0,3220.0,11.79681375,,True,realestate;travel
2004,4,3.0,3386.75,11.79097948,14.7901945,True,realestate;travel
2005,4,3.0,3553.5,11.785145199999999,14.7901945,True,realestate;travel
2006,6,2.0,4964.5,12.49430044,15.82646039,True,realestate;travel
2007,8,1.5,5281.25,13.12447585,16.04974698,True,realestate;travel
2008,10,1.2,5518.5,13.26596178,15.65225404,True,realestate;travel
2009,12,1.0,6320.666667,12.63416933,15.13170936,True,realestate;travel
2010,17,0.8235294117647058,7090.705881999999,12.49096311,15.20664837,True,realestate;travel
2011,20,0.8,8531.0,12.78756743,14.61905683,True,realestate;travel
2012,21,0.6666666666666666,10752.71429,12.43199168,14.184121900000001,True,realestate;travel
2013,23,0.6956521739130435,11031.17391,12.08589279,14.18424888,True,realestate;travel
2014,22,0.6363636363636364,14091.77273,12.66314139,15.2625448,True,realestate;travel
2015,24,0.6666666666666666,15626.0,12.490021400000002,14.947459599999998,True,realestate;travel
2016,15,0.9333333333333333,17363.733330000003,13.01885921,15.36334152,True,realestate;travel
2017,16,0.375,24476.0,12.93169973,15.02967657,True,realestate;travel
2018,15,0.4,28275.4,13.29671205,14.73901578,True,realestate;travel
2019,23,0.5217391304347826,22801.21739,13.45206742,15.13350008,True,realestate;travel
