year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,2,0.0,2178.0,10.32191998,,True,shopping;vehicles
2000,8,2.375,3632.625,10.66701259,15.49204061,True,shopping;vehicles
2001,15,2.6666666666666665,4945.733333,11.04187528,13.60740985,True,shopping;vehicles
2002,17,2.0588235294117645,4077.7647060000004,11.49637317,13.52033111,True,shopping;vehicles
2003,23,1.8695652173913044,4078.173913,11.7605799,14.21386212,True,shopping;vehicles
2004,20,1.95,4935.45,12.40137101,15.20343787,True,shopping;vehicles
2005,31,1.4516129032258065,5328.806452000001,12.09322117,15.071214600000001,True,shopping;vehicles
2006,56,1.4642857142857142,5832.875,11.99897392,14.74897363,True,shopping;vehicles
2007,76,1.25,6050.2236840000005,12.34432777,15.10195994,True,shopping;vehicles
2008,101,1.6237623762376239,6391.277228,12.71247764,15.21272413,True,shopping;vehicles
2009,94,1.5106382978723405,6267.946809,12.70657804,15.19598558,True,shopping;vehicles
2010,107,1.280373831775701,5526.616822,12.56365755,15.0231089,True,shopping;vehicles
2011,124,1.3387096774193548,6136.322581,12.60698316,14.93313086,True,shopping;vehicles
2012,144,1.4444444444444444,6830.763889,12.57831183,14.91199138,True,shopping;vehicles
2013,155,1.5548387096774194,6345.741935,12.66558738,14.96070492,True,shopping;vehicles
2014,162,1.6481481481481481,7047.401234999999,12.89933379,15.11041479,True,shopping;vehicles
2015,178,1.8089887640449438,7360.966292,12.9227267,15.32863588,True,shopping;vehicles
2016,187,1.9572192513368984,7725.957219,12.86473397,15.2355375,True,shopping;vehicles
2017,147,2.142857142857143,8834.653060999999,13.08119396,15.31718033,True,shopping;vehicles
2018,98,2.7551020408163267,12376.81633,13.09465551,15.4367217,True,shopping;vehicles
2019,111,3.0,14060.522519999999,13.17586762,15.37049397,True,shopping;vehicles
