year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,2.0,6415.5,12.74546159,13.92733269,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2001,1,4.0,10992.0,15.81376313,15.60156596,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2002,2,4.0,11167.5,15.423119635,15.688483145,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2003,1,4.0,11240.0,15.43059254,15.68848315,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2004,2,4.0,4301.0,10.569982815,13.50681897,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2006,1,0.0,3570.0,10.02913869,0.0,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2007,3,0.0,4678.0,10.805748493333333,5.200521986666667,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2008,3,0.0,4685.666666666667,10.802349596666666,5.200521986666667,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2009,3,0.0,5812.333333333333,11.478267592666668,10.40104397,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2010,2,0.0,5262.5,11.043015674,7.80078298,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2011,3,0.0,6604.0,11.461385743333333,10.357202796666668,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2012,6,5.333333333333333,10226.0,13.87546245,11.033682131666666,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2013,10,4.0,9904.2,11.089263839000001,9.831908311000001,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2014,4,8.0,17161.0,14.7364464825,16.9805747525,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2015,4,2.5,13465.75,12.7053916575,11.549606297499999,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2016,4,0.0,6199.5,11.399562544999998,7.6006763575,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2017,2,0.0,7557.5,14.7515161,7.690787875,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2018,5,0.0,11266.4,14.47451311,16.301011052,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
2019,6,3.6666666666666665,9552.833333333334,10.976104782833332,13.425285683333334,False,business;education;streamingmedia;travel - business;streamingmedia;travel - education;streamingmedia;travel - realestate;streamingmedia;travel - socialnetworking;streamingmedia;travel - streamingmedia;travel - 
